D4Brazil82,D4ElSal83,D4ElSal94,D4Indon76,D4Indon77,D4Mexico84,D4NewCal81,D4PRico86,D4Philip56,D4Philip64,D4Philip84,D4SLanka78,D4Tahiti79,D4Tahiti85,D4Thai63,D4Thai78,D4Thai84
0.051112943,0.104354971,0.51813054,0.352941176,0.51772465,0.280296785,0.073010664,0.424366312,0.865353038,0.827332242,0.796402289,0.812036274,0.173628174,0.485172982,0.846839546,0.823001631,0.82852432
0.104354971,0.027115859,0.512489927,0.433006536,0.468364832,0.236647494,0.046759639,0.397383483,0.836617406,0.833060556,0.801308258,0.796220214,0.19000819,0.224322104,0.831442464,0.808319739,0.746918652
0.51813054,0.512489927,0.026591459,0.601128122,0.688154714,0.630136986,0.661563255,0.519742143,0.789685737,0.814665592,0.829170024,0.804190169,0.444802579,0.603545528,0.867042707,0.821112006,0.846897663
0.352941176,0.433006536,0.601128122,0.027777778,0.213235294,0.552287582,0.385620915,0.491013072,0.803104575,0.772875817,0.79003268,0.841503268,0.280228758,0.645424837,0.830632091,0.796900489,0.842320261
0.51772465,0.468364832,0.688154714,0.213235294,0.061056106,0.552805281,0.479901559,0.513491415,0.826765189,0.829787234,0.842191333,0.832646331,0.311220311,0.588962109,0.847649919,0.811582382,0.839933993
0.280296785,0.236647494,0.630136986,0.552287582,0.552805281,0.2,0.274815422,0.529844644,0.845648604,0.841243863,0.838103025,0.842539159,0.407862408,0.563426689,0.882495948,0.840130506,0.840495868
0.073010664,0.046759639,0.661563255,0.385620915,0.479901559,0.274815422,0.028712059,0.353229763,0.835110747,0.778232406,0.807031889,0.822805578,0.127764128,0.292863002,0.842787682,0.806688418,0.8195242
0.424366312,0.397383483,0.519742143,0.491013072,0.513491415,0.529844644,0.353229763,0.026165168,0.826655765,0.853638594,0.852003271,0.839738348,0.312346688,0.457072772,0.799837925,0.805057096,0.829108749
0.865353038,0.836617406,0.789685737,0.803104575,0.826765189,0.845648604,0.835110747,0.826655765,0.171592775,0.314238953,0.622240392,0.805418719,0.80999181,0.84729064,0.795786062,0.83360522,0.802955665
0.827332242,0.833060556,0.814665592,0.772875817,0.829787234,0.841243863,0.778232406,0.853638594,0.314238953,0.025368249,0.578904334,0.779050736,0.825695581,0.853518822,0.691247974,0.799347471,0.752864157
0.796402289,0.801308258,0.829170024,0.79003268,0.842191333,0.838103025,0.807031889,0.852003271,0.622240392,0.578904334,0.026165168,0.74161897,0.773507768,0.819296811,0.744732577,0.836052202,0.808667212
0.812036274,0.796220214,0.804190169,0.841503268,0.832646331,0.842539159,0.822805578,0.839738348,0.805418719,0.779050736,0.74161897,0.084913438,0.839475839,0.823723229,0.8363047,0.7862969,0.74278648
0.173628174,0.19000819,0.444802579,0.280228758,0.311220311,0.407862408,0.127764128,0.312346688,0.80999181,0.825695581,0.773507768,0.839475839,0.027846028,0.316953317,0.858184765,0.817292007,0.835380835
0.485172982,0.224322104,0.603545528,0.645424837,0.588962109,0.563426689,0.292863002,0.457072772,0.84729064,0.853518822,0.819296811,0.823723229,0.316953317,0.058484349,0.867098865,0.820554649,0.840197694
0.846839546,0.831442464,0.867042707,0.830632091,0.847649919,0.882495948,0.842787682,0.799837925,0.795786062,0.691247974,0.744732577,0.8363047,0.858184765,0.867098865,0.022690438,0.829821718,0.833873582
0.823001631,0.808319739,0.821112006,0.796900489,0.811582382,0.840130506,0.806688418,0.805057096,0.83360522,0.799347471,0.836052202,0.7862969,0.817292007,0.820554649,0.829821718,0.039967374,0.500815661
0.82852432,0.746918652,0.846897663,0.842320261,0.839933993,0.840495868,0.8195242,0.829108749,0.802955665,0.752864157,0.808667212,0.74278648,0.835380835,0.840197694,0.833873582,0.500815661,0.037375415
