D4Brazil82,D4ElSal83,D4ElSal94,D4Indon76,D4Indon77,D4Mexico84,D4NewCal81,D4PRico86,D4Philip56,D4Philip64,D4Philip84,D4SLanka78,D4Tahiti79,D4Tahiti85,D4Thai63,D4Thai78,D4Thai84
0.017621145,0.029368576,0.064610866,0.058394161,0.052863436,0.041116006,0.02349486,0.052554745,0.205580029,0.198540146,0.216058394,0.223201175,0.035242291,0.058737151,0.258443465,0.227737226,0.233576642
0.029368576,0.017621145,0.064610866,0.058394161,0.052863436,0.041116006,0.02349486,0.046715328,0.211453744,0.198540146,0.22189781,0.22907489,0.035242291,0.058737151,0.258443465,0.22189781,0.227737226
0.064610866,0.064610866,0.02349486,0.093430657,0.088105727,0.076358297,0.058737151,0.081751825,0.211453744,0.210218978,0.233576642,0.24082232,0.070484581,0.093979442,0.264317181,0.239416058,0.245255474
0.058394161,0.058394161,0.093430657,0.017518248,0.046715328,0.075912409,0.058394161,0.075912409,0.19270073,0.181021898,0.204379562,0.22189781,0.064233577,0.087591241,0.239416058,0.210218978,0.210218978
0.052863436,0.052863436,0.088105727,0.046715328,0.017621145,0.070484581,0.046989721,0.070072993,0.182085169,0.186861314,0.204379562,0.21732746,0.052863436,0.076358297,0.24082232,0.216058394,0.22189781
0.041116006,0.041116006,0.076358297,0.075912409,0.070484581,0.023633678,0.041116006,0.064233577,0.21732746,0.210218978,0.22189781,0.234948605,0.052863436,0.076358297,0.264317181,0.239416058,0.239416058
0.02349486,0.02349486,0.058737151,0.058394161,0.046989721,0.041116006,0.017621145,0.046715328,0.205580029,0.198540146,0.216058394,0.223201175,0.029368576,0.058737151,0.258443465,0.22189781,0.227737226
0.052554745,0.046715328,0.081751825,0.075912409,0.070072993,0.064233577,0.046715328,0.017518248,0.22189781,0.216058394,0.22189781,0.245255474,0.052554745,0.064233577,0.268613139,0.239416058,0.245255474
0.205580029,0.211453744,0.211453744,0.19270073,0.182085169,0.21732746,0.205580029,0.22189781,0.02349486,0.058394161,0.116788321,0.146842878,0.211453744,0.223201175,0.176211454,0.16350365,0.181021898
0.198540146,0.198540146,0.210218978,0.181021898,0.186861314,0.210218978,0.198540146,0.216058394,0.058394161,0.023357664,0.099270073,0.157664234,0.198540146,0.22189781,0.186861314,0.157664234,0.169343066
0.216058394,0.22189781,0.233576642,0.204379562,0.204379562,0.22189781,0.216058394,0.22189781,0.116788321,0.099270073,0.023357664,0.198540146,0.22189781,0.233576642,0.216058394,0.19270073,0.204379562
0.223201175,0.22907489,0.24082232,0.22189781,0.21732746,0.234948605,0.223201175,0.245255474,0.146842878,0.157664234,0.198540146,0.02349486,0.223201175,0.25256975,0.211453744,0.134306569,0.151824818
0.035242291,0.035242291,0.070484581,0.064233577,0.052863436,0.052863436,0.029368576,0.052554745,0.211453744,0.198540146,0.22189781,0.223201175,0.017621145,0.058737151,0.25256975,0.227737226,0.233576642
0.058737151,0.058737151,0.093979442,0.087591241,0.076358297,0.076358297,0.058737151,0.064233577,0.223201175,0.22189781,0.233576642,0.25256975,0.058737151,0.02349486,0.264317181,0.245255474,0.251094891
0.258443465,0.258443465,0.264317181,0.239416058,0.24082232,0.264317181,0.258443465,0.268613139,0.176211454,0.186861314,0.216058394,0.211453744,0.25256975,0.264317181,0.017621145,0.227737226,0.227737226
0.227737226,0.22189781,0.239416058,0.210218978,0.216058394,0.239416058,0.22189781,0.239416058,0.16350365,0.157664234,0.19270073,0.134306569,0.227737226,0.245255474,0.227737226,0.017518248,0.087591241
0.233576642,0.227737226,0.245255474,0.210218978,0.22189781,0.239416058,0.227737226,0.245255474,0.181021898,0.169343066,0.204379562,0.151824818,0.233576642,0.251094891,0.227737226,0.087591241,0.023357664
