/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Brazil82.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4ElSal83.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4ElSal94.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Indon76.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Indon77.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Mexico84.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4NewCal81.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4PRico86.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Philip56.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Philip64.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Philip84.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4SLanka78.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Tahiti79.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Tahiti85.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Thai63.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Thai78.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Thai84.fasta
0.043103448,0.05862069,0.147512864,0.135972461,0.132758621,0.093103448,0.056896552,0.113597246,0.431506849,0.431271478,0.45890411,0.491496599,0.07890223,0.127366609,0.508591065,0.468802698,0.463620981
0.05862069,0.043103448,0.147512864,0.135972461,0.125862069,0.089655172,0.048275862,0.108433735,0.434931507,0.436426117,0.465753425,0.494897959,0.073756432,0.122203098,0.513745704,0.463743676,0.461928934
0.147512864,0.147512864,0.044596913,0.214408233,0.210977702,0.164665523,0.138936535,0.17838765,0.452054795,0.45626072,0.484589041,0.5,0.150943396,0.202401372,0.523156089,0.487352445,0.48392555
0.135972461,0.135972461,0.214408233,0.04302926,0.101549053,0.161790017,0.123924269,0.168674699,0.41609589,0.414089347,0.450342466,0.464285714,0.138936535,0.184165232,0.475945017,0.435075885,0.433164129
0.132758621,0.125862069,0.210977702,0.101549053,0.044905009,0.151986183,0.118965517,0.163511188,0.405821918,0.412371134,0.445205479,0.469387755,0.125214408,0.17383821,0.47766323,0.443507589,0.450084602
0.093103448,0.089655172,0.164665523,0.161790017,0.151986183,0.044982699,0.084482759,0.139414802,0.448630137,0.439862543,0.469178082,0.506802721,0.101200686,0.154905336,0.518900344,0.485666105,0.480541455
0.056896552,0.048275862,0.138936535,0.123924269,0.118965517,0.084482759,0.044827586,0.104991394,0.429794521,0.426116838,0.455479452,0.488095238,0.068610635,0.120481928,0.508591065,0.465430017,0.463620981
0.113597246,0.108433735,0.17838765,0.168674699,0.163511188,0.139414802,0.104991394,0.04475043,0.455479452,0.4604811,0.481164384,0.49829932,0.113207547,0.137693632,0.529209622,0.492411467,0.485617597
0.431506849,0.434931507,0.452054795,0.41609589,0.405821918,0.448630137,0.429794521,0.455479452,0.046232877,0.114726027,0.238013699,0.301020408,0.434931507,0.440068493,0.371575342,0.338954469,0.37394247
0.431271478,0.436426117,0.45626072,0.414089347,0.412371134,0.439862543,0.426116838,0.4604811,0.114726027,0.04467354,0.212328767,0.323129252,0.43567753,0.443298969,0.386597938,0.344013491,0.360406091
0.45890411,0.465753425,0.484589041,0.450342466,0.445205479,0.469178082,0.455479452,0.481164384,0.238013699,0.212328767,0.042808219,0.397959184,0.465753425,0.47260274,0.445205479,0.409780776,0.438240271
0.491496599,0.494897959,0.5,0.464285714,0.469387755,0.506802721,0.488095238,0.49829932,0.301020408,0.323129252,0.397959184,0.044217687,0.484693878,0.505102041,0.431972789,0.28836425,0.321489002
0.07890223,0.073756432,0.150943396,0.138936535,0.125214408,0.101200686,0.068610635,0.113207547,0.434931507,0.43567753,0.465753425,0.484693878,0.042881647,0.12864494,0.500857633,0.467116358,0.467005076
0.127366609,0.122203098,0.202401372,0.184165232,0.17383821,0.154905336,0.120481928,0.137693632,0.440068493,0.443298969,0.47260274,0.505102041,0.12864494,0.04302926,0.517182131,0.480607083,0.48392555
0.508591065,0.513745704,0.523156089,0.475945017,0.47766323,0.518900344,0.508591065,0.529209622,0.371575342,0.386597938,0.445205479,0.431972789,0.500857633,0.517182131,0.0395189,0.460370995,0.47715736
0.468802698,0.463743676,0.487352445,0.435075885,0.443507589,0.485666105,0.465430017,0.492411467,0.338954469,0.344013491,0.409780776,0.28836425,0.467116358,0.480607083,0.460370995,0.045531197,0.178752108
0.463620981,0.461928934,0.48392555,0.433164129,0.450084602,0.480541455,0.463620981,0.485617597,0.37394247,0.360406091,0.438240271,0.321489002,0.467005076,0.48392555,0.47715736,0.178752108,0.040609137
