/home/asweeten/listeria/listeria_dataset/SE001_genome.fa,/home/asweeten/listeria/listeria_dataset/SE002_genome.fa,/home/asweeten/listeria/listeria_dataset/SE003_genome.fa,/home/asweeten/listeria/listeria_dataset/SE004_genome.fa,/home/asweeten/listeria/listeria_dataset/SE005_genome.fa,/home/asweeten/listeria/listeria_dataset/SE006_genome.fa,/home/asweeten/listeria/listeria_dataset/SE007_genome.fa,/home/asweeten/listeria/listeria_dataset/SE008_genome.fa,/home/asweeten/listeria/listeria_dataset/SE009_genome.fa,/home/asweeten/listeria/listeria_dataset/SE010_genome.fa,/home/asweeten/listeria/listeria_dataset/SE011_genome.fa,/home/asweeten/listeria/listeria_dataset/SE012_genome.fa,/home/asweeten/listeria/listeria_dataset/SE013_genome.fa,/home/asweeten/listeria/listeria_dataset/SE014_genome.fa,/home/asweeten/listeria/listeria_dataset/SE015_genome.fa,/home/asweeten/listeria/listeria_dataset/SE016_genome.fa,/home/asweeten/listeria/listeria_dataset/SE017_genome.fa,/home/asweeten/listeria/listeria_dataset/SE018_genome.fa,/home/asweeten/listeria/listeria_dataset/SE019_genome.fa,/home/asweeten/listeria/listeria_dataset/SE020_genome.fa,/home/asweeten/listeria/listeria_dataset/SE021_genome.fa,/home/asweeten/listeria/listeria_dataset/SE022_genome.fa,/home/asweeten/listeria/listeria_dataset/SE023_genome.fa,/home/asweeten/listeria/listeria_dataset/SE024_genome.fa,/home/asweeten/listeria/listeria_dataset/SE025_genome.fa,/home/asweeten/listeria/listeria_dataset/SE026_genome.fa,/home/asweeten/listeria/listeria_dataset/SE027_genome.fa,/home/asweeten/listeria/listeria_dataset/SE028_genome.fa,/home/asweeten/listeria/listeria_dataset/SE029_genome.fa,/home/asweeten/listeria/listeria_dataset/SE030_genome.fa,/home/asweeten/listeria/listeria_dataset/SE031_genome.fa,/home/asweeten/listeria/listeria_dataset/SE032_genome.fa,/home/asweeten/listeria/listeria_dataset/SE033_genome.fa,/home/asweeten/listeria/listeria_dataset/SE034_genome.fa,/home/asweeten/listeria/listeria_dataset/SE035_genome.fa,/home/asweeten/listeria/listeria_dataset/SE036_genome.fa,/home/asweeten/listeria/listeria_dataset/SE037_genome.fa,/home/asweeten/listeria/listeria_dataset/SE038_genome.fa,/home/asweeten/listeria/listeria_dataset/SE039_genome.fa,/home/asweeten/listeria/listeria_dataset/SE040_genome.fa,/home/asweeten/listeria/listeria_dataset/SE041_genome.fa,/home/asweeten/listeria/listeria_dataset/SE042_genome.fa,/home/asweeten/listeria/listeria_dataset/SE043_genome.fa,/home/asweeten/listeria/listeria_dataset/SE044_genome.fa,/home/asweeten/listeria/listeria_dataset/SE045_genome.fa,/home/asweeten/listeria/listeria_dataset/SE046_genome.fa,/home/asweeten/listeria/listeria_dataset/SE047_genome.fa,/home/asweeten/listeria/listeria_dataset/SE048_genome.fa,/home/asweeten/listeria/listeria_dataset/SE049_genome.fa,/home/asweeten/listeria/listeria_dataset/SE050_genome.fa,/home/asweeten/listeria/listeria_dataset/SE051_genome.fa,/home/asweeten/listeria/listeria_dataset/SE052_genome.fa,/home/asweeten/listeria/listeria_dataset/SE053_genome.fa,/home/asweeten/listeria/listeria_dataset/SE054_genome.fa,/home/asweeten/listeria/listeria_dataset/SE055_genome.fa,/home/asweeten/listeria/listeria_dataset/SE056_genome.fa,/home/asweeten/listeria/listeria_dataset/SE057_genome.fa,/home/asweeten/listeria/listeria_dataset/SE058_genome.fa,/home/asweeten/listeria/listeria_dataset/SE059_genome.fa,/home/asweeten/listeria/listeria_dataset/SE060_genome.fa,/home/asweeten/listeria/listeria_dataset/SE061_genome.fa,/home/asweeten/listeria/listeria_dataset/SE062_genome.fa,/home/asweeten/listeria/listeria_dataset/SE063_genome.fa,/home/asweeten/listeria/listeria_dataset/SE064_genome.fa,/home/asweeten/listeria/listeria_dataset/SE065_genome.fa,/home/asweeten/listeria/listeria_dataset/SE066_genome.fa,/home/asweeten/listeria/listeria_dataset/SE067_genome.fa,/home/asweeten/listeria/listeria_dataset/SE068_genome.fa,/home/asweeten/listeria/listeria_dataset/SE069_genome.fa,/home/asweeten/listeria/listeria_dataset/SE070_genome.fa,/home/asweeten/listeria/listeria_dataset/SE071_genome.fa,/home/asweeten/listeria/listeria_dataset/SE072_genome.fa,/home/asweeten/listeria/listeria_dataset/SE073_genome.fa,/home/asweeten/listeria/listeria_dataset/SE074_genome.fa,/home/asweeten/listeria/listeria_dataset/SE075_genome.fa,/home/asweeten/listeria/listeria_dataset/SE076_genome.fa,/home/asweeten/listeria/listeria_dataset/SE077_genome.fa,/home/asweeten/listeria/listeria_dataset/SE078_genome.fa,/home/asweeten/listeria/listeria_dataset/SE079_genome.fa,/home/asweeten/listeria/listeria_dataset/SE080_genome.fa,/home/asweeten/listeria/listeria_dataset/SE081_genome.fa,/home/asweeten/listeria/listeria_dataset/SE082_genome.fa,/home/asweeten/listeria/listeria_dataset/SE083_genome.fa,/home/asweeten/listeria/listeria_dataset/SE084_genome.fa,/home/asweeten/listeria/listeria_dataset/SE085_genome.fa,/home/asweeten/listeria/listeria_dataset/SE086_genome.fa,/home/asweeten/listeria/listeria_dataset/SE087_genome.fa,/home/asweeten/listeria/listeria_dataset/SE088_genome.fa,/home/asweeten/listeria/listeria_dataset/SE089_genome.fa,/home/asweeten/listeria/listeria_dataset/SE090_genome.fa,/home/asweeten/listeria/listeria_dataset/SE091_genome.fa,/home/asweeten/listeria/listeria_dataset/SE092_genome.fa,/home/asweeten/listeria/listeria_dataset/SE093_genome.fa,/home/asweeten/listeria/listeria_dataset/SE094_genome.fa,/home/asweeten/listeria/listeria_dataset/SE095_genome.fa,/home/asweeten/listeria/listeria_dataset/SE096_genome.fa
0.999183023,0.998577099,0.998880061,0.999365141,0.998902187,0.998697943,0.998784747,0.998027341,0.998309879,0.999152387,0.999235786,0.998600927,0.998902187,0.998449768,0.998777939,0.998689433,0.996823691,0.999685133,0.99932259,0.998949844,0.998529442,0.998279243,0.999206852,0.998786449,0.998633266,0.999202253,1.000200793,0.999673697,0.99986123,1.000900398,1.000623148,1.000854797,0.999851299,1.000215255,0.999811778,1.000519872,0.998459658,0.998418616,0.998826111,0.998217969,0.998481785,0.996865849,0.999050264,1.000083768,0.997709061,0.999224927,0.999247701,0.997622257,0.998120953,0.998250555,0.99796777,0.998437532,0.997896285,0.998197545,0.998279243,0.998738792,0.998204353,0.998730282,0.998081807,0.998597523,0.998408597,0.999346419,0.998709858,0.999300589,0.998228182,0.997445246,0.998786449,0.997998407,0.998597523,0.997937134,0.998786449,0.99736525,0.999839103,0.999002469,0.998731984,0.99822648,0.998786449,0.998943036,1.000481558,1.000367786,0.999271551,0.99883751,0.99989953,0.999201746,1.000037177,0.999956484,0.999781754,0.999812459,0.999571339,0.999890158,0.998428422,0.9996072,0.999582364,0.99983832,0.999606819,0.999759863
0.998577099,0.998838918,0.998523816,0.999916087,0.999111207,0.99831493,0.998320027,0.998108881,0.998283548,0.998184733,0.998943381,0.998075292,0.998951944,0.998362982,0.99806454,0.998221739,0.996721668,1.000296921,0.99830752,0.998331849,0.998062324,0.998336882,0.998900568,0.998755005,0.999051269,0.999750908,1.000378917,0.999732139,1.000592191,1.000719349,0.999458203,1.000699084,1.000189108,1.000092252,0.999840985,1.000599229,0.998703021,0.998479998,0.997240511,0.998986292,0.998632818,0.996831837,0.998675055,0.999991945,0.998243747,0.999675022,0.999035749,0.997399313,0.998151224,0.998349259,0.998537247,0.998707035,0.997179973,0.998451589,0.99838478,0.998076821,0.997051529,0.997281057,0.998271067,0.998542598,0.998273818,0.99859437,0.99854151,0.998652229,0.997824875,0.997952437,0.99812963,0.997347018,0.998806923,0.997628692,0.997908346,0.997657632,1.000182025,0.999095074,0.997972733,0.997569763,0.997734398,0.998025276,1.00042299,1.000473099,1.000742985,0.997976057,1.000395397,0.998434115,1.000245692,1.000291721,1.001060514,1.001322488,1.001004013,1.001289024,0.997958718,1.001021602,1.000226763,1.001202902,1.000285505,1.000034073
0.998880061,0.998523816,0.999785853,0.999446643,0.998847328,0.999289325,0.99925648,0.99786437,0.99854538,0.997723225,0.999765294,0.999244109,0.999376519,0.998106028,0.998596579,0.998705944,0.996935916,0.999582353,0.998913196,0.998846963,0.998259173,0.998452993,0.999758442,0.999285663,0.999256747,1.000004884,1.000123067,0.999683437,1.001142429,1.001634296,0.999832417,1.000674754,1.000350739,1.000032369,1.000219051,1.00063,0.998814093,0.99846546,0.997742391,0.99839482,0.998708013,0.997338607,0.998582736,0.999540889,0.998339418,0.999632775,0.998999846,0.997419764,0.998154641,0.998696425,0.998087827,0.998250996,0.997545279,0.999008744,0.998215924,0.998070002,0.997753303,0.997743022,0.998093741,0.998645111,0.998662721,0.997557206,0.998418546,0.998648826,0.996699811,0.99777513,0.998051201,0.997738217,0.999212022,0.997770186,0.997906641,0.997749691,1.000529823,0.998206395,0.997440768,0.996584716,0.997673027,0.997234022,0.999978851,1.001265378,1.000350495,0.997957301,0.999990277,0.998633689,1.001065204,1.000494798,1.001172062,1.001181832,1.000550903,1.000398984,0.997596788,1.000098604,0.999492638,1.00129506,0.999613345,0.999763108
0.999365141,0.999916087,0.999446643,0.999717316,0.999614634,0.998854358,0.999196491,0.997436901,0.998536823,0.998324895,0.99973445,0.999467634,0.999564934,0.998328949,0.998177087,0.99851158,0.996777781,0.999582353,0.999008739,0.998406899,0.998355029,0.998596424,0.999557985,0.99945868,0.999347513,1.000006512,0.999366853,1.00050163,1.00108434,1.001256032,1.000327031,1.00084993,1.000489742,1.00086264,0.999858834,1.00020892,0.998863648,0.999568713,0.997852975,0.99924442,0.998784917,0.997323302,0.998986203,0.999816356,0.99888782,0.999119309,0.999172522,0.997469187,0.998108507,0.998213116,0.997915236,0.99822196,0.997900343,0.999104451,0.998580926,0.99827289,0.997095816,0.997640742,0.998293233,0.998631443,0.998879346,0.998918484,0.998732787,0.999150836,0.997765213,0.997885947,0.997998346,0.997748467,0.999215441,0.997802576,0.997785608,0.997800834,1.000697221,0.999767676,0.998237011,0.997491368,0.997836682,0.998146351,1.000161062,1.000499022,1.000379569,0.998494405,1.000354885,0.998565458,1.001267253,0.999861392,1.00129816,1.001257819,1.000084754,0.999601016,0.99849759,1.000594857,0.999548105,1.001396919,0.999525247,0.999873441
0.998902187,0.999111207,0.998847328,0.999614634,0.999528997,0.998427953,0.999688282,0.997676284,0.999084445,0.998152257,0.999448499,0.998960863,0.999564965,0.998019243,0.999106449,0.998755388,0.996873002,1.000182721,0.998094253,0.998840141,0.998611789,0.998304439,0.999662591,0.999189876,0.99945883,1.00005861,1.000424257,1.00016234,1.001052068,1.001445164,0.999943054,1.001187307,1.000075967,1.000945181,0.999826382,1.000113368,0.998913203,0.999499255,0.997892104,0.998531576,0.998354254,0.997918502,0.998899014,0.999826021,0.998327459,0.9992558,0.998539946,0.997216958,0.99833576,0.998419033,0.998204027,0.997987962,0.997569178,0.998190102,0.997830455,0.997365859,0.997322359,0.997509482,0.998289823,0.998284605,0.998594492,0.998724015,0.998674721,0.998890471,0.997882833,0.997372777,0.998155205,0.997586179,0.998347127,0.997316722,0.998155526,0.997355886,0.999936616,1.000152716,0.998035819,0.997660087,0.998155469,0.998282774,0.999562368,1.000333762,0.999407227,0.997473055,0.999948145,0.998258422,1.000368538,0.999464909,1.001239961,1.001579549,0.99984516,0.999342565,0.998296518,1.001842764,1.001138711,1.00148261,1.001223591,0.999425618
0.998697943,0.99831493,0.999289325,0.998854358,0.998427953,0.999020467,0.999222539,0.998011419,0.998240765,0.998830845,0.998895457,0.998762932,0.998736197,0.999128739,0.997322756,0.999060573,0.997111055,1.000491061,0.998641921,0.998290913,0.997502589,0.998476898,0.999169452,0.998648862,0.998076897,0.999128991,1.00011497,0.999748373,1.001287653,1.001695724,0.999594872,1.000968337,1.000476812,0.999567871,0.999688461,1.000908561,0.998776499,0.998563994,0.997363004,0.999165785,0.998803715,0.997561382,0.99930419,0.999872738,0.997818351,0.999696145,0.999148587,0.996978363,0.998614272,0.998834271,0.998472312,0.998280032,0.997881566,0.998918163,0.997804871,0.997094773,0.997409229,0.997628809,0.997191763,0.999220896,0.997538656,0.997724381,0.998978715,0.998526301,0.99696744,0.997111931,0.997601084,0.997782633,0.99890948,0.997260465,0.996980994,0.997055845,0.999977247,0.998029309,0.997536249,0.99671935,0.997049091,0.997385793,1.000566156,1.00047958,1.000297194,0.997251393,1.000220385,0.997683582,1.0011832,1.000378754,1.001396774,1.000381549,0.999765296,0.999988693,0.998074535,1.001317414,0.999985317,1.000725945,1.00011257,0.999488898
0.998784747,0.998320027,0.99925648,0.999196491,0.999688282,0.999222539,0.999742961,0.997339439,0.998170601,0.997924921,0.999148526,0.999373787,0.99913158,0.998781596,0.997905952,0.999350415,0.997233483,1.00084182,0.998740876,0.99906529,0.998762421,0.998603254,0.999131311,0.999213715,0.999314975,1.000030933,0.99962918,1.000514617,1.001013341,1.00081149,1.000268458,1.000642314,1.000116374,0.999475619,0.999886418,1.000116607,0.998680806,0.998417001,0.997800235,0.999482034,0.998759282,0.996670283,0.999047749,1.000006444,0.998107073,0.999798514,0.999487101,0.997235705,0.998583516,0.997546012,0.998152762,0.998384221,0.997251669,0.998791693,0.99768036,0.99732494,0.997121366,0.997240145,0.997208814,0.998363199,0.998456329,0.997944437,0.998567127,0.998628405,0.997187339,0.997587593,0.997352156,0.997172772,0.99954875,0.997388322,0.997381597,0.997579213,1.00087437,0.999351768,0.997722096,0.996940901,0.997505962,0.997581901,1.000330257,1.000038885,1.000121139,0.997505452,1.000322475,0.998208955,1.001175119,1.000425494,1.001131646,1.001456677,1.000369985,0.999694705,0.998541022,1.00184438,0.999747134,1.0017607,1.00007831,0.999837745
0.998027341,0.998108881,0.99786437,0.997436901,0.997676284,0.998011419,0.997339439,0.997780586,0.997705351,0.997868515,0.998021678,0.99836707,0.998238832,0.996936973,0.997708143,0.998230264,0.996403697,0.999216912,0.998060131,0.998028239,0.997204359,0.997467758,0.997801104,0.997630117,0.99772074,0.99870244,0.999863979,0.999261354,1.000077453,0.999510196,0.999396376,0.999607475,0.999817357,0.999231231,0.999175719,1.000254267,0.997983616,0.999693092,0.997121421,0.998124725,0.997979988,0.996343774,0.998165592,0.999023785,0.997637259,0.998841453,0.998033886,0.996852248,0.997460923,0.997721297,0.998251874,0.997542171,0.997343849,0.998224284,0.997649659,0.997382909,0.997308733,0.997511187,0.99764872,0.997676358,0.997777456,0.99839649,0.998034283,0.997471228,0.997223136,0.997638739,0.997403306,0.99726502,0.997675381,0.997096809,0.99752479,0.997684909,0.999739964,0.998298999,0.997793706,0.997223803,0.997461639,0.99790079,0.999847073,0.999826638,0.999904704,0.997684487,0.999787717,0.997826866,0.999728446,0.999468132,0.999421244,0.999602283,0.998877005,0.998575289,0.997796251,0.999728435,0.999809127,0.999954729,0.999763439,0.999175746
0.998309879,0.998283548,0.99854538,0.998536823,0.999084445,0.998240765,0.998170601,0.997705351,0.998158622,0.997306158,0.998593297,0.998843128,0.999063909,0.997784411,0.996956127,0.997802321,0.996420701,0.999081503,0.998012359,0.998033356,0.997763308,0.998085878,0.998524844,0.998393073,0.998962941,0.999488791,0.999760343,0.998990247,1.000342083,0.999875528,0.999794996,1.000788294,0.999461769,1.000101963,0.999097835,0.999423444,0.998308288,0.998160167,0.996837306,0.997914462,0.99817652,0.996954278,0.998314328,0.999569886,0.997529628,0.999013691,0.997963789,0.996525032,0.997546356,0.997660033,0.997595686,0.997449938,0.996678104,0.998022614,0.99762237,0.99718684,0.996893119,0.996827616,0.997299182,0.998132543,0.998101541,0.998316315,0.998227268,0.998022589,0.997103811,0.997418809,0.997251562,0.996706407,0.99848216,0.996858144,0.997025316,0.997354182,1.000069885,0.999238043,0.997751081,0.997012478,0.996766104,0.997680807,1.000082971,0.999914129,0.998806378,0.997278675,0.999504134,0.997976972,1.00065464,0.999880733,1.00075012,1.000334664,0.998758023,1.000239067,0.997524402,0.999657311,0.999055425,1.000884392,0.999141855,0.999409393
0.999152387,0.998184733,0.997723225,0.998324895,0.998152257,0.998830845,0.997924921,0.997868515,0.997306158,0.998049699,0.997851422,0.998843128,0.998400104,0.998756071,0.998523253,0.998463841,0.997145063,1.000422541,0.998773293,0.999058467,0.997564261,0.998471776,0.998304384,0.998025769,0.998022351,1.000685411,0.999695571,0.999668827,1.000900389,1.001346556,0.999642056,1.00054175,0.999595922,1.000538947,0.999651141,1.000217018,0.999012314,0.998048711,0.997677742,0.999073564,0.998743901,0.997114132,0.998825717,0.999015731,0.998399213,0.99984401,0.99920518,0.997994096,0.998689453,0.998485403,0.998822621,0.998339812,0.997287516,0.998801947,0.998717376,0.997795505,0.998012209,0.997901556,0.998233556,0.9986827,0.998838409,0.998954307,0.998949682,0.998699878,0.998365247,0.997921749,0.997773288,0.997951754,0.998844527,0.998157164,0.998080519,0.997935512,0.999205266,0.999800169,0.998508109,0.998328147,0.997945786,0.998806298,1.000188719,1.000296497,0.999045425,0.998274448,1.000319234,0.998616631,1.00031843,1.000952527,0.999814087,1.000601425,1.000531344,0.999247262,0.997915286,0.999694489,0.999911905,0.999872272,0.999965739,0.999639795
