/home/asweeten/listeria/listeria_dataset/SE001_genome.fa,/home/asweeten/listeria/listeria_dataset/SE002_genome.fa,/home/asweeten/listeria/listeria_dataset/SE003_genome.fa,/home/asweeten/listeria/listeria_dataset/SE004_genome.fa,/home/asweeten/listeria/listeria_dataset/SE005_genome.fa,/home/asweeten/listeria/listeria_dataset/SE006_genome.fa,/home/asweeten/listeria/listeria_dataset/SE007_genome.fa,/home/asweeten/listeria/listeria_dataset/SE008_genome.fa,/home/asweeten/listeria/listeria_dataset/SE009_genome.fa,/home/asweeten/listeria/listeria_dataset/SE010_genome.fa,/home/asweeten/listeria/listeria_dataset/SE011_genome.fa,/home/asweeten/listeria/listeria_dataset/SE012_genome.fa,/home/asweeten/listeria/listeria_dataset/SE013_genome.fa,/home/asweeten/listeria/listeria_dataset/SE014_genome.fa,/home/asweeten/listeria/listeria_dataset/SE015_genome.fa,/home/asweeten/listeria/listeria_dataset/SE016_genome.fa,/home/asweeten/listeria/listeria_dataset/SE017_genome.fa,/home/asweeten/listeria/listeria_dataset/SE018_genome.fa,/home/asweeten/listeria/listeria_dataset/SE019_genome.fa,/home/asweeten/listeria/listeria_dataset/SE020_genome.fa,/home/asweeten/listeria/listeria_dataset/SE021_genome.fa,/home/asweeten/listeria/listeria_dataset/SE022_genome.fa,/home/asweeten/listeria/listeria_dataset/SE023_genome.fa,/home/asweeten/listeria/listeria_dataset/SE024_genome.fa,/home/asweeten/listeria/listeria_dataset/SE025_genome.fa,/home/asweeten/listeria/listeria_dataset/SE026_genome.fa,/home/asweeten/listeria/listeria_dataset/SE027_genome.fa,/home/asweeten/listeria/listeria_dataset/SE028_genome.fa,/home/asweeten/listeria/listeria_dataset/SE029_genome.fa,/home/asweeten/listeria/listeria_dataset/SE030_genome.fa,/home/asweeten/listeria/listeria_dataset/SE031_genome.fa,/home/asweeten/listeria/listeria_dataset/SE032_genome.fa,/home/asweeten/listeria/listeria_dataset/SE033_genome.fa,/home/asweeten/listeria/listeria_dataset/SE034_genome.fa,/home/asweeten/listeria/listeria_dataset/SE035_genome.fa,/home/asweeten/listeria/listeria_dataset/SE036_genome.fa,/home/asweeten/listeria/listeria_dataset/SE037_genome.fa,/home/asweeten/listeria/listeria_dataset/SE038_genome.fa,/home/asweeten/listeria/listeria_dataset/SE039_genome.fa,/home/asweeten/listeria/listeria_dataset/SE040_genome.fa,/home/asweeten/listeria/listeria_dataset/SE041_genome.fa,/home/asweeten/listeria/listeria_dataset/SE042_genome.fa,/home/asweeten/listeria/listeria_dataset/SE043_genome.fa,/home/asweeten/listeria/listeria_dataset/SE044_genome.fa,/home/asweeten/listeria/listeria_dataset/SE045_genome.fa,/home/asweeten/listeria/listeria_dataset/SE046_genome.fa,/home/asweeten/listeria/listeria_dataset/SE047_genome.fa,/home/asweeten/listeria/listeria_dataset/SE048_genome.fa,/home/asweeten/listeria/listeria_dataset/SE049_genome.fa,/home/asweeten/listeria/listeria_dataset/SE050_genome.fa,/home/asweeten/listeria/listeria_dataset/SE051_genome.fa,/home/asweeten/listeria/listeria_dataset/SE052_genome.fa,/home/asweeten/listeria/listeria_dataset/SE053_genome.fa,/home/asweeten/listeria/listeria_dataset/SE054_genome.fa,/home/asweeten/listeria/listeria_dataset/SE055_genome.fa,/home/asweeten/listeria/listeria_dataset/SE056_genome.fa,/home/asweeten/listeria/listeria_dataset/SE057_genome.fa,/home/asweeten/listeria/listeria_dataset/SE058_genome.fa,/home/asweeten/listeria/listeria_dataset/SE059_genome.fa,/home/asweeten/listeria/listeria_dataset/SE060_genome.fa,/home/asweeten/listeria/listeria_dataset/SE061_genome.fa,/home/asweeten/listeria/listeria_dataset/SE062_genome.fa,/home/asweeten/listeria/listeria_dataset/SE063_genome.fa,/home/asweeten/listeria/listeria_dataset/SE064_genome.fa,/home/asweeten/listeria/listeria_dataset/SE065_genome.fa,/home/asweeten/listeria/listeria_dataset/SE066_genome.fa,/home/asweeten/listeria/listeria_dataset/SE067_genome.fa,/home/asweeten/listeria/listeria_dataset/SE068_genome.fa,/home/asweeten/listeria/listeria_dataset/SE069_genome.fa,/home/asweeten/listeria/listeria_dataset/SE070_genome.fa,/home/asweeten/listeria/listeria_dataset/SE071_genome.fa,/home/asweeten/listeria/listeria_dataset/SE072_genome.fa,/home/asweeten/listeria/listeria_dataset/SE073_genome.fa,/home/asweeten/listeria/listeria_dataset/SE074_genome.fa,/home/asweeten/listeria/listeria_dataset/SE075_genome.fa,/home/asweeten/listeria/listeria_dataset/SE076_genome.fa,/home/asweeten/listeria/listeria_dataset/SE077_genome.fa,/home/asweeten/listeria/listeria_dataset/SE078_genome.fa,/home/asweeten/listeria/listeria_dataset/SE079_genome.fa,/home/asweeten/listeria/listeria_dataset/SE080_genome.fa,/home/asweeten/listeria/listeria_dataset/SE081_genome.fa,/home/asweeten/listeria/listeria_dataset/SE082_genome.fa,/home/asweeten/listeria/listeria_dataset/SE083_genome.fa,/home/asweeten/listeria/listeria_dataset/SE084_genome.fa,/home/asweeten/listeria/listeria_dataset/SE085_genome.fa,/home/asweeten/listeria/listeria_dataset/SE086_genome.fa,/home/asweeten/listeria/listeria_dataset/SE087_genome.fa,/home/asweeten/listeria/listeria_dataset/SE088_genome.fa,/home/asweeten/listeria/listeria_dataset/SE089_genome.fa,/home/asweeten/listeria/listeria_dataset/SE090_genome.fa,/home/asweeten/listeria/listeria_dataset/SE091_genome.fa,/home/asweeten/listeria/listeria_dataset/SE092_genome.fa,/home/asweeten/listeria/listeria_dataset/SE093_genome.fa,/home/asweeten/listeria/listeria_dataset/SE094_genome.fa,/home/asweeten/listeria/listeria_dataset/SE095_genome.fa,/home/asweeten/listeria/listeria_dataset/SE096_genome.fa
0.999350061,0.999122786,0.999493947,0.999338615,0.998886519,0.999169386,0.999468603,0.999332075,0.999166116,0.999418733,0.999730214,0.999518473,0.999072099,0.999305914,0.999163663,0.999341068,0.999166116,0.999053348,0.999166933,0.999292833,0.999202905,0.999418733,0.999430996,0.998847277,0.998705026,0.999103741,0.999082565,0.999520809,0.999043761,0.99918159,0.999454796,0.99878751,0.999173168,0.999330981,0.999097895,0.999268614,0.99928057,0.99911759,0.999268307,0.999155488,0.999285475,0.999078639,0.998974813,0.999585029,0.999143225,0.999381719,0.998750808,0.999227431,0.999122786,0.999366411,0.999180831,0.999069647,0.998971542,0.998950287,0.999427726,0.999347608,0.99926422,0.998995251,0.998633901,0.998687041,0.999250321,0.99975474,0.99928057,0.999132597,0.998548877,0.999027952,0.998724647,0.99945307,0.999139954,0.998857905,0.999476778,0.999298556,0.999641734,0.999454749,0.999085997,0.999206175,0.999312454,0.999218438,0.999305041,0.999373273,0.999527732,0.99964519,0.999183439,0.998934753,0.9995271,0.999014818,0.99925626,0.999504517,0.999438608,0.999254445,0.999064511,0.999506816,0.99956136,0.99920567,0.998820727,0.99914488
0.999122786,0.999958857,1.000082285,0.999438018,0.999466854,0.999560622,0.999724344,0.999579797,0.999361584,0.999912134,0.999519453,0.999325555,0.999574585,0.999790542,0.99943216,0.999063597,0.999610311,0.999877548,0.999041588,0.999985249,0.999363207,0.999681497,0.999514691,0.99959351,0.999664276,0.999687917,0.999644562,0.999806917,0.999159316,0.99929895,0.999533913,0.999628607,0.999006713,0.999858252,0.99970086,0.999910427,0.99950402,0.999360583,0.999717828,0.999126392,0.999570392,0.999807696,0.999800408,0.999789024,0.99971667,0.99966738,0.999190339,0.999700007,0.999759354,0.999765155,0.999608848,0.999690271,0.999375041,0.999265838,0.999414163,0.999787736,0.99955139,0.999641104,0.999338715,0.998937992,1.000054083,0.999265928,0.999514188,0.999873997,0.999255228,0.999326491,0.99977134,0.999436548,0.999429336,0.999733684,0.999406026,0.999053081,0.999636259,0.999624748,0.999261767,0.999403483,0.999872972,0.999565404,0.999937391,0.999675724,0.99950439,0.999140588,0.999676339,0.998975224,0.999373874,0.999665659,0.999591566,0.999558188,0.999567195,1.00003969,0.999702909,0.999514594,0.999996077,0.999545653,0.99940291,0.999574392
0.999493947,1.000082285,1.000721062,0.999721889,0.9997433,0.999386187,0.99973668,0.999870897,0.999220079,0.99945556,0.999855975,0.99921984,0.999825542,0.999228443,0.99981154,0.999798464,0.999938599,0.999867343,0.999415942,0.999714809,0.999624835,0.999735676,0.999731846,0.99975884,0.999966255,0.999795342,0.999733422,0.999841312,0.999331485,0.999218896,0.99958718,0.999850975,0.999412739,0.999605909,0.999317368,0.999546681,0.999608307,0.999516349,0.999401304,0.999517217,0.999377356,0.999766781,0.999774945,0.999208065,0.999724882,0.999554681,0.999713416,0.999617222,0.999718289,0.999821616,0.999982743,0.999615509,0.999356973,0.999486744,0.999300272,0.999786097,0.999354918,0.999223211,1.000144221,0.999394311,0.99973614,0.999397831,0.999437049,0.999594173,0.999545271,0.999413342,0.999804942,0.999682134,0.999146056,0.999182204,0.999765688,0.999995901,1.00005945,0.999312169,0.99923309,0.999078184,0.99994673,1.000116439,0.99973313,0.999701447,1.00000389,0.999582173,0.999709875,0.999487202,0.999638325,0.999879761,0.99954022,0.999348949,0.999478595,0.999940075,0.999490368,0.999286672,0.999553513,0.999758044,0.999704201,0.999289352
0.999338615,0.999438018,0.999721889,1.000221337,0.999603432,0.999500557,1.000008228,0.999432603,0.999398605,0.999421891,0.999649481,0.99947962,0.999616569,0.99985027,0.999282211,0.999520739,0.99956774,0.999908946,0.999215249,0.99962876,0.999837922,0.999518962,0.999662751,0.999586124,0.99975727,0.999862777,0.999831635,0.999215941,0.998873142,0.999019929,0.999900516,1.000017945,0.999218282,0.999199358,0.999357983,0.999608214,0.999615698,0.999312296,0.998724908,0.999363679,0.999600785,0.999874798,0.999838191,0.999833236,0.999483436,0.999846604,0.999326651,0.999781972,0.999424257,0.99957286,0.999444498,0.999792145,0.99986696,0.99951795,0.999300272,0.999907391,0.999221482,0.999837759,0.999290368,0.998481674,0.999657473,0.999414217,0.999354986,0.999635901,0.999679642,0.999460865,1.000025407,0.999338806,0.999286464,1,0.999455183,0.999609754,1,0.999558159,0.999791066,0.99959522,0.999564006,0.999826162,0.999619651,0.999835523,0.999831166,0.99936261,0.999846359,0.999633014,0.999529433,0.999680398,0.999572116,0.999678753,0.999967069,1.000050586,1.000073691,0.999245443,0.999841493,0.999796166,0.99963594,0.99928701
0.998886519,0.999466854,0.9997433,0.999603432,0.999859309,0.999308885,0.999315467,0.999711367,0.999230774,0.999324171,1.00000905,0.999546,0.999707099,0.999707905,0.999590303,0.999480595,0.999711827,0.999525889,0.999095652,0.999585325,1.000231187,0.999326876,0.999470273,0.999925952,0.99951951,0.999754568,0.999774734,0.999899159,0.999084864,0.999277965,0.999914616,0.999620804,0.999186391,0.999393288,0.999168189,0.999675978,0.999283949,0.999102792,0.999253266,0.999224919,0.999306714,0.999793785,0.999426686,0.999633895,0.999616478,0.999390328,0.999381669,0.999163134,0.999785636,0.999758609,0.999749367,0.999598257,0.999142631,0.999549156,0.999856613,0.999217327,0.999513733,0.99960587,0.999730405,0.999441092,0.999940181,0.999153687,0.999483004,0.999546717,0.999419914,0.999516581,0.999090277,0.999394658,0.99961162,0.999564061,0.999265931,0.999552365,0.999754377,0.999382675,0.999771402,0.999256811,0.999109982,0.99996228,0.999471738,0.999758352,0.999183061,0.999174997,0.999798784,0.999269304,0.999348984,0.999575674,0.999566671,0.999118709,0.999559354,0.999438888,0.999685068,0.999656949,0.999315753,0.999246904,0.999425663,0.999041016
0.999169386,0.999560622,0.999386187,0.999500557,0.999308885,1.000048546,0.999951454,0.999786198,0.999209384,0.999420249,0.999404289,0.99943127,0.999419099,0.999561448,0.999385455,0.999350334,0.999914039,0.999655406,0.999266036,0.999906575,0.999319602,0.999667542,0.999559932,1.000083926,0.999680751,0.999353878,0.999703022,0.999679497,0.999318301,0.999350246,0.999522946,0.999620804,0.999254062,0.999769465,0.999832857,0.999729722,0.999861224,0.999546723,0.999142032,0.999381742,0.999464428,1.000102289,0.999457898,0.999250726,0.999228028,0.999733904,0.999139428,0.999827873,0.999134333,0.999882987,1.000149558,0.999730528,0.999453058,0.999562295,0.99916426,0.999646773,0.999206746,0.999432157,0.999798419,0.998997084,0.999275613,0.999160241,0.999989332,0.999881361,0.999628843,0.999196213,1.00005655,0.999562216,0.99967895,0.99953538,0.99928969,0.999858987,0.999956195,1.000162949,0.999628016,0.999372346,0.999962301,0.999615423,0.999921739,0.999565033,0.999921418,0.999849255,0.999829201,0.998986692,0.999624324,0.999469398,0.999817955,0.999426733,0.999382939,0.99957975,0.999568713,0.999592384,0.999510355,0.99944218,0.999596709,0.999729798
0.999468603,0.999724344,0.99973668,1.000008228,0.999315467,0.999951454,0.99993993,0.999272251,0.999667629,0.999415322,1.000174449,0.999221479,0.999935816,0.999868271,0.999285489,0.999666565,0.999904215,0.999434835,0.99946673,0.999486984,0.999425734,1.000076342,1.000030435,1.000069944,0.999744086,0.999795342,0.999919715,0.999866327,0.999617659,0.999231332,0.999474379,0.999997659,0.999435296,0.999471171,0.999739132,0.999508515,0.999488418,0.999326315,0.999359591,0.999423616,0.999401999,0.999389538,0.999560568,0.999811518,0.999442374,0.999802776,0.999689603,0.999678696,0.999407831,0.999896079,0.999403411,0.999797074,0.999519578,0.999695331,0.999365001,0.99965251,0.999582498,0.999667324,0.999478838,0.999241658,0.999244475,0.999128289,1.000022978,0.999833087,0.999435481,0.999586226,0.999967217,0.999982751,0.999430157,0.999559963,0.999071763,0.999950809,0.999728563,0.999540924,0.999822201,0.999131444,0.999588592,0.999799922,0.999702608,0.999382628,0.999263199,0.999235623,0.999794885,0.999338114,0.999598657,0.999428284,0.999772055,0.999428289,0.999868277,0.999562629,0.999578022,0.999432138,0.999664154,0.999803946,0.999194203,0.99968997
0.999332075,0.999579797,0.999870897,0.999432603,0.999711367,0.999786198,0.999272251,0.999082296,0.999549371,0.999105738,0.999897211,0.999473064,0.999522235,0.999063168,0.999183065,0.99937655,0.999652882,0.99943876,0.999310271,0.999945092,0.999929281,0.99987933,0.999785376,0.999736859,0.99959871,0.999780444,0.999845665,0.99958491,0.999292709,0.999474601,0.99913676,0.999952405,0.998999712,0.999662764,0.999627442,0.999276403,0.999508947,0.999360583,0.999150211,0.999999179,0.999434035,0.999284794,0.9999039,0.999554004,0.999548314,0.999995304,0.999570535,0.999754924,0.999857091,0.999456665,0.999543108,0.999581004,0.999113067,0.999599249,0.999414982,0.999544329,0.999508003,0.999533762,0.999511616,0.999159586,0.999482932,0.999595277,0.999481363,0.999958272,0.999687835,0.999402691,0.999568086,0.999666528,0.99952212,0.999363299,0.998996389,0.999646647,0.999801311,0.999953779,0.999431372,0.999428884,0.999448451,0.999712183,0.999670521,0.99998363,0.999824164,0.99955268,0.999819842,0.999212782,0.999174758,0.999610582,0.999592344,0.999520074,0.999709895,1.000382895,0.999617582,0.999437583,0.99938559,0.999724591,0.999203618,0.999263582
0.999166116,0.999361584,0.999220079,0.999398605,0.999230774,0.999209384,0.999667629,0.999549371,0.999484166,0.999317602,0.99949733,0.999201811,0.999627316,0.998823437,0.999220757,0.999372454,0.999792876,0.99950862,0.999114493,0.999361598,0.999345952,0.999778362,0.999264633,0.99957055,0.999572195,0.999848663,0.999812927,0.999759232,0.999184133,0.999197911,0.999324762,0.999613002,0.999407294,0.999601236,0.999566521,0.999624571,0.999562322,0.99943613,0.998955553,0.99900816,0.999682107,0.99991244,0.999914578,0.999604421,0.999712564,0.999906084,0.999281488,0.999800005,0.999231248,0.999287282,0.999037733,0.999601543,0.999852999,0.999453074,0.99939204,0.999349275,0.999705293,0.999501806,0.999319048,0.999436988,0.99979432,0.999741108,0.999352524,0.999678447,0.9992159,0.999577213,0.999758227,0.999224637,0.999528689,0.999634532,0.999116823,0.999811436,0.99979036,0.999530739,0.999569023,0.999641926,0.999776266,0.999790902,0.99948739,0.999582962,0.999174503,0.999751762,0.999210735,0.999021916,0.999524766,0.999605927,0.999333279,0.999234607,0.99946213,0.999352503,0.999667227,0.999191769,0.999382451,0.999677133,0.999202049,0.999587668
0.999418733,0.999912134,0.99945556,0.999421891,0.999324171,0.999420249,0.999415322,0.999105738,0.999317602,1.000001642,0.999025263,0.999133793,0.999926915,0.99923417,0.999732058,0.999542858,0.999509615,0.999783353,0.999195589,0.99942552,0.999362767,0.99905188,0.999228915,0.999767607,0.99970027,0.999522466,0.999212737,0.999444983,0.999329159,0.999268638,0.999197077,0.999832249,0.999208948,0.999634726,0.999460299,0.99939168,0.999545078,0.999432235,0.999406211,0.999224919,0.999374263,0.999513922,0.999481837,0.999462477,0.999774997,0.999431025,0.999328294,0.999512306,0.999481016,0.999581861,0.999487585,0.999641967,0.999390687,0.999545889,0.999608349,0.999818059,0.999128976,0.999337926,0.999645184,0.999362303,0.999579626,0.999247084,0.999260614,0.999261984,0.999288821,0.999168355,0.999754948,0.999698628,0.999240483,0.999533741,0.999448629,0.999970486,0.999369515,0.999528389,0.999561649,0.999183066,0.999718079,0.999297266,0.999550781,0.99920412,0.999717573,0.999571523,0.999184998,0.999366785,0.99965388,0.999422078,0.999670919,0.999639861,0.999643249,0.999104245,0.99941978,0.999380797,0.999543312,0.999155879,0.99940134,0.999510356
