ST131_extra/536.fasta,ST131_extra/apec_o1.fasta,ST131_extra/cft073.fasta,ST131_extra/e2348_69.fasta,ST131_extra/ec958.fasta,ST131_extra/ed1a.fasta,ST131_extra/na114.fasta,ST131_extra/s88.fasta,ST131_extra/se15.fasta,ST131_extra/uti89.fasta
0,0.0124,0.0111321,0.0164427,0.0158335,0.0149234,0.0161637,0.0135508,0.0148187,0.0101459
0.0124,0,0.0114865,0.0172424,0.0161637,0.0134036,0.0154542,0.00274254,0.0151872,0.00366686
0.0111321,0.0114865,0,0.0170687,0.0149234,0.0139486,0.0155619,0.011984,0.0149759,0.0105261
0.0164427,0.0172424,0.0170687,0,0.0178909,0.0177716,0.0180108,0.0175939,0.0163866,0.017359
0.0158335,0.0161637,0.0149234,0.0178909,0,0.0173006,0.00186568,0.0157789,0.00480022,0.0162193
0.0149234,0.0134036,0.0139486,0.0177716,0.0173006,0,0.017653,0.0132087,0.0164427,0.0140492
0.0161637,0.0154542,0.0155619,0.0180108,0.00186568,0.017653,0,0.015508,0.00550978,0.0160531
0.0135508,0.00274254,0.011984,0.0175939,0.0157789,0.0132087,0.015508,0,0.0146108,0.00492718
0.0148187,0.0151872,0.0149759,0.0163866,0.00480022,0.0164427,0.00550978,0.0146108,0,0.0151342
0.0101459,0.00366686,0.0105261,0.017359,0.0162193,0.0140492,0.0160531,0.00492718,0.0151342,0
