/home/asweeten/listeria/listeria_dataset/SE001_genome.fa,/home/asweeten/listeria/listeria_dataset/SE002_genome.fa,/home/asweeten/listeria/listeria_dataset/SE003_genome.fa,/home/asweeten/listeria/listeria_dataset/SE004_genome.fa,/home/asweeten/listeria/listeria_dataset/SE005_genome.fa,/home/asweeten/listeria/listeria_dataset/SE006_genome.fa,/home/asweeten/listeria/listeria_dataset/SE007_genome.fa,/home/asweeten/listeria/listeria_dataset/SE008_genome.fa,/home/asweeten/listeria/listeria_dataset/SE009_genome.fa,/home/asweeten/listeria/listeria_dataset/SE010_genome.fa,/home/asweeten/listeria/listeria_dataset/SE011_genome.fa,/home/asweeten/listeria/listeria_dataset/SE012_genome.fa,/home/asweeten/listeria/listeria_dataset/SE013_genome.fa,/home/asweeten/listeria/listeria_dataset/SE014_genome.fa,/home/asweeten/listeria/listeria_dataset/SE015_genome.fa,/home/asweeten/listeria/listeria_dataset/SE016_genome.fa,/home/asweeten/listeria/listeria_dataset/SE017_genome.fa,/home/asweeten/listeria/listeria_dataset/SE018_genome.fa,/home/asweeten/listeria/listeria_dataset/SE019_genome.fa,/home/asweeten/listeria/listeria_dataset/SE020_genome.fa,/home/asweeten/listeria/listeria_dataset/SE021_genome.fa,/home/asweeten/listeria/listeria_dataset/SE022_genome.fa,/home/asweeten/listeria/listeria_dataset/SE023_genome.fa,/home/asweeten/listeria/listeria_dataset/SE024_genome.fa,/home/asweeten/listeria/listeria_dataset/SE025_genome.fa,/home/asweeten/listeria/listeria_dataset/SE026_genome.fa,/home/asweeten/listeria/listeria_dataset/SE027_genome.fa,/home/asweeten/listeria/listeria_dataset/SE028_genome.fa,/home/asweeten/listeria/listeria_dataset/SE029_genome.fa,/home/asweeten/listeria/listeria_dataset/SE030_genome.fa,/home/asweeten/listeria/listeria_dataset/SE031_genome.fa,/home/asweeten/listeria/listeria_dataset/SE032_genome.fa,/home/asweeten/listeria/listeria_dataset/SE033_genome.fa,/home/asweeten/listeria/listeria_dataset/SE034_genome.fa,/home/asweeten/listeria/listeria_dataset/SE035_genome.fa,/home/asweeten/listeria/listeria_dataset/SE036_genome.fa,/home/asweeten/listeria/listeria_dataset/SE037_genome.fa,/home/asweeten/listeria/listeria_dataset/SE038_genome.fa,/home/asweeten/listeria/listeria_dataset/SE039_genome.fa,/home/asweeten/listeria/listeria_dataset/SE040_genome.fa,/home/asweeten/listeria/listeria_dataset/SE041_genome.fa,/home/asweeten/listeria/listeria_dataset/SE042_genome.fa,/home/asweeten/listeria/listeria_dataset/SE043_genome.fa,/home/asweeten/listeria/listeria_dataset/SE044_genome.fa,/home/asweeten/listeria/listeria_dataset/SE045_genome.fa,/home/asweeten/listeria/listeria_dataset/SE046_genome.fa,/home/asweeten/listeria/listeria_dataset/SE047_genome.fa,/home/asweeten/listeria/listeria_dataset/SE048_genome.fa,/home/asweeten/listeria/listeria_dataset/SE049_genome.fa,/home/asweeten/listeria/listeria_dataset/SE050_genome.fa,/home/asweeten/listeria/listeria_dataset/SE051_genome.fa,/home/asweeten/listeria/listeria_dataset/SE052_genome.fa,/home/asweeten/listeria/listeria_dataset/SE053_genome.fa,/home/asweeten/listeria/listeria_dataset/SE054_genome.fa,/home/asweeten/listeria/listeria_dataset/SE055_genome.fa,/home/asweeten/listeria/listeria_dataset/SE056_genome.fa,/home/asweeten/listeria/listeria_dataset/SE057_genome.fa,/home/asweeten/listeria/listeria_dataset/SE058_genome.fa,/home/asweeten/listeria/listeria_dataset/SE059_genome.fa,/home/asweeten/listeria/listeria_dataset/SE060_genome.fa,/home/asweeten/listeria/listeria_dataset/SE061_genome.fa,/home/asweeten/listeria/listeria_dataset/SE062_genome.fa,/home/asweeten/listeria/listeria_dataset/SE063_genome.fa,/home/asweeten/listeria/listeria_dataset/SE064_genome.fa,/home/asweeten/listeria/listeria_dataset/SE065_genome.fa,/home/asweeten/listeria/listeria_dataset/SE066_genome.fa,/home/asweeten/listeria/listeria_dataset/SE067_genome.fa,/home/asweeten/listeria/listeria_dataset/SE068_genome.fa,/home/asweeten/listeria/listeria_dataset/SE069_genome.fa,/home/asweeten/listeria/listeria_dataset/SE070_genome.fa,/home/asweeten/listeria/listeria_dataset/SE071_genome.fa,/home/asweeten/listeria/listeria_dataset/SE072_genome.fa,/home/asweeten/listeria/listeria_dataset/SE073_genome.fa,/home/asweeten/listeria/listeria_dataset/SE074_genome.fa,/home/asweeten/listeria/listeria_dataset/SE075_genome.fa,/home/asweeten/listeria/listeria_dataset/SE076_genome.fa,/home/asweeten/listeria/listeria_dataset/SE077_genome.fa,/home/asweeten/listeria/listeria_dataset/SE078_genome.fa,/home/asweeten/listeria/listeria_dataset/SE079_genome.fa,/home/asweeten/listeria/listeria_dataset/SE080_genome.fa,/home/asweeten/listeria/listeria_dataset/SE081_genome.fa,/home/asweeten/listeria/listeria_dataset/SE082_genome.fa,/home/asweeten/listeria/listeria_dataset/SE083_genome.fa,/home/asweeten/listeria/listeria_dataset/SE084_genome.fa,/home/asweeten/listeria/listeria_dataset/SE085_genome.fa,/home/asweeten/listeria/listeria_dataset/SE086_genome.fa,/home/asweeten/listeria/listeria_dataset/SE087_genome.fa,/home/asweeten/listeria/listeria_dataset/SE088_genome.fa,/home/asweeten/listeria/listeria_dataset/SE089_genome.fa,/home/asweeten/listeria/listeria_dataset/SE090_genome.fa,/home/asweeten/listeria/listeria_dataset/SE091_genome.fa,/home/asweeten/listeria/listeria_dataset/SE092_genome.fa,/home/asweeten/listeria/listeria_dataset/SE093_genome.fa,/home/asweeten/listeria/listeria_dataset/SE094_genome.fa,/home/asweeten/listeria/listeria_dataset/SE095_genome.fa,/home/asweeten/listeria/listeria_dataset/SE096_genome.fa
0.000687378,0.028580473,0.028833718,0.028435762,0.028428526,0.028479175,0.028486411,0.027799032,0.028421291,0.029781576,0.028428526,0.02667752,0.028464704,0.024709447,0.028262108,0.025722426,0.025852666,0.204167042,0.027263601,0.024405553,0.028906073,0.02462262,0.028442997,0.028450233,0.028464704,0.224213585,0.229179014,0.222433028,0.223340383,0.22542232,0.223745442,0.225433739,0.226654441,0.222028921,0.223897216,0.226877889,0.029882874,0.228541728,0.025997377,0.030078235,0.030273595,0.025957729,0.029969701,0.228391799,0.030027586,0.225801275,0.030092706,0.028262108,0.030070999,0.02462262,0.029846697,0.030136119,0.030092706,0.02995523,0.028298286,0.028254873,0.028262108,0.028240402,0.028276579,0.03008547,0.028122532,0.028254873,0.024658798,0.000860777,0.028167842,0.028182517,0.028233166,0.029781576,0.030078235,0.028254873,0.028254873,0.028240402,0.22173474,0.223854251,0.028247637,0.028240402,0.028175282,0.028143108,0.225656611,0.229385336,0.225392051,0.028240402,0.225285443,0.028165499,0.225326851,0.228347826,0.225425932,0.225155997,0.224231375,0.225223057,0.228423818,0.225405922,0.204071904,0.225150551,0.204098857,0.223817507
0.028580473,0.000683789,0.001730415,0.001163888,0.001526704,0.002092685,0.002187687,0.017515603,0.001163389,0.022915507,0.001178068,0.023879883,0.001214632,0.028502427,0.023265373,0.029957584,0.029945788,0.207161916,0.024424099,0.031697684,0.001839528,0.030530973,0.001185392,0.001207121,0.001207113,0.227057717,0.231739595,0.224974436,0.225965935,0.228227532,0.226555553,0.228317423,0.229505485,0.224714046,0.226817217,0.229606358,0.023055195,0.231386383,0.030119075,0.023121681,0.023436947,0.030130928,0.0231436,0.231040084,0.023182301,0.228629875,0.023224051,0.023255772,0.023238382,0.028433013,0.023038889,0.023242099,0.023195198,0.023056114,0.023221945,0.023206434,0.023319941,0.023222618,0.023257793,0.02320429,0.023192052,0.023228678,0.030554674,0.028593697,0.023197046,0.023219089,0.023208955,0.022862198,0.023222514,0.023241628,0.023231689,0.023221105,0.22411634,0.2265786,0.023217901,0.023200236,0.023219257,0.02318518,0.228561758,0.231755717,0.228157295,0.023218405,0.228045502,0.02321086,0.228077055,0.230982284,0.228127413,0.227869143,0.22728099,0.227921349,0.231186244,0.228114705,0.20698873,0.227990237,0.207044017,0.226829041
0.028833718,0.001730415,0.000683441,0.001628626,0.002021065,0.002579525,0.002667379,0.017848958,0.001606814,0.023249193,0.001614085,0.024213259,0.001650438,0.028792307,0.023576834,0.030196549,0.03024988,0.207225486,0.024720895,0.031922233,0.001214199,0.030821191,0.001614085,0.001643167,0.001650438,0.227043602,0.23197877,0.225016676,0.225867652,0.228389235,0.226569639,0.228380724,0.229632198,0.224931949,0.226669458,0.229550101,0.023396699,0.231491741,0.030379784,0.023462559,0.02375641,0.030412998,0.023463222,0.231292971,0.023516382,0.228538175,0.023594069,0.023603305,0.023579589,0.028701249,0.023365733,0.023575995,0.023536198,0.023418974,0.023562061,0.023561228,0.023638599,0.023562743,0.023576492,0.023552681,0.023524606,0.023583259,0.030852096,0.028839633,0.023551586,0.023559163,0.023563788,0.02318849,0.023556442,0.023589166,0.023586537,0.023561209,0.224221721,0.226656037,0.023587014,0.023554825,0.023559333,0.023539317,0.228667528,0.231783852,0.228368383,0.023573051,0.228326424,0.023558046,0.228266967,0.231073612,0.228443993,0.228002692,0.227111567,0.228075939,0.231305738,0.228255421,0.207327732,0.228067555,0.207248836,0.22666017
0.028435762,0.001163888,0.001628626,0.000683784,0.001301333,0.001911028,0.002005985,0.017327186,0.000836186,0.022763172,0.000858099,0.023756679,0.000901882,0.028328499,0.023098778,0.029783791,0.029808223,0.206921761,0.024257604,0.03154557,0.001730465,0.030393119,0.000872681,0.000887161,0.000894427,0.226676618,0.231662214,0.2246858,0.225825531,0.228185348,0.226266795,0.228218956,0.22941397,0.224664843,0.22668353,0.229444619,0.022931672,0.231274002,0.029966995,0.022991132,0.023269955,0.029986276,0.022998317,0.230948764,0.023037048,0.228559336,0.023107967,0.023103726,0.023107707,0.028237273,0.022893625,0.023082409,0.023057348,0.022939999,0.023055506,0.023047139,0.023167855,0.02306341,0.023105687,0.023066385,0.023018545,0.023069478,0.030438607,0.028427329,0.023037865,0.023067141,0.023056884,0.022709928,0.023091847,0.02308958,0.023072369,0.023069144,0.223968807,0.226529323,0.023073151,0.023041033,0.023045601,0.023033406,0.228279705,0.231615042,0.228122114,0.023059177,0.228024433,0.0230445,0.228133325,0.23085583,0.228035956,0.227855086,0.227005677,0.227949456,0.231130012,0.228079526,0.206847479,0.227863716,0.206959264,0.226646097
0.028428526,0.001526704,0.002021065,0.001301333,0.000683382,0.001874697,0.001962377,0.017305445,0.001286793,0.022726902,0.001294063,0.023713195,0.001330413,0.028299511,0.023077048,0.029711377,0.02972858,0.206999458,0.024243126,0.031465891,0.002071955,0.030342331,0.001308603,0.001323143,0.001337683,0.226796593,0.231648145,0.224791399,0.225909773,0.228065828,0.226379481,0.228225989,0.229301336,0.224573464,0.226641313,0.229486812,0.022895342,0.231442574,0.029901818,0.022940363,0.023226392,0.029942881,0.02296926,0.231054134,0.02298621,0.228439421,0.02305718,0.023082005,0.023064149,0.028208274,0.022857309,0.023060633,0.023035582,0.022910971,0.023041033,0.023032657,0.023146128,0.023048936,0.023076714,0.023030094,0.023018545,0.023047769,0.030366065,0.028412862,0.023023394,0.02305267,0.023035159,0.022695426,0.023048291,0.023067859,0.023050644,0.023054672,0.22402501,0.226437807,0.023058676,0.02302656,0.023038365,0.023011724,0.228364321,0.231776818,0.228044715,0.023037464,0.228010387,0.023030033,0.227725366,0.230975259,0.227881184,0.227770739,0.2269845,0.227865135,0.231087837,0.228086561,0.207031105,0.227884803,0.207008703,0.22666017
0.028479175,0.002092685,0.002579525,0.001911028,0.001874697,0.000675763,0.001911028,0.017341679,0.001881963,0.02277768,0.001903762,0.023778421,0.001925561,0.028408216,0.023178454,0.029805515,0.029844425,0.207197233,0.024293799,0.031560057,0.002623122,0.030422141,0.001903762,0.001918294,0.001932827,0.226902454,0.231746629,0.224896997,0.225776389,0.228164256,0.226330181,0.228148622,0.229526604,0.224707017,0.226852397,0.229472748,0.022960736,0.231407455,0.030010446,0.023027395,0.023298997,0.030029672,0.023034637,0.230913641,0.023058836,0.228404151,0.023129733,0.023168889,0.023129486,0.02829527,0.022929941,0.023133219,0.02310088,0.022969028,0.023142344,0.023126786,0.023247519,0.02312854,0.023178118,0.023102676,0.023112528,0.023141841,0.030445861,0.028456262,0.023117456,0.023146733,0.023129298,0.022731681,0.023128143,0.023154743,0.023152029,0.023148743,0.224109315,0.226515244,0.023152764,0.023120634,0.023132429,0.023112907,0.228420732,0.231790886,0.228368383,0.023138791,0.228087641,0.023124063,0.228133325,0.230975259,0.228190729,0.228002692,0.227069211,0.227872161,0.231059721,0.228220242,0.207165293,0.228039439,0.207199397,0.226779787
0.028486411,0.002187687,0.002667379,0.002005985,0.001962377,0.001911028,0.00067593,0.017406901,0.001976913,0.022835712,0.002005985,0.023829152,0.002020521,0.028393722,0.023214671,0.02983448,0.029873386,0.207246676,0.024344471,0.031581788,0.002710987,0.030465674,0.002005985,0.002020521,0.002027789,0.226951856,0.231957666,0.224981476,0.226001035,0.228262685,0.226386524,0.228415891,0.229681475,0.224819483,0.226669458,0.229620423,0.023004332,0.231379359,0.030039414,0.023070912,0.02334256,0.030044137,0.02305643,0.231054134,0.023102412,0.228601659,0.02318052,0.02321957,0.023165785,0.028338768,0.022966257,0.023169512,0.023129901,0.023005314,0.023178526,0.023177471,0.02328373,0.023179197,0.023207091,0.023146224,0.023148675,0.023192496,0.030489386,0.028477962,0.023168104,0.023175675,0.023179989,0.022789688,0.02316444,0.023205426,0.02319548,0.023177688,0.224186594,0.226663076,0.023203426,0.02317129,0.023168607,0.023149043,0.228681631,0.232001899,0.228213585,0.023189455,0.228157871,0.023174694,0.228133325,0.231045511,0.228120378,0.228002692,0.227118626,0.22798459,0.231200302,0.228156919,0.207151168,0.228060526,0.207199397,0.226681279
0.027799032,0.017515603,0.017848958,0.017327186,0.017305445,0.017341679,0.017406901,0.000688449,0.017341679,0.023160889,0.017341679,0.023073927,0.01738516,0.027820605,0.022475857,0.028987239,0.029163838,0.206596845,0.023591624,0.030951601,0.017812724,0.030849782,0.017348926,0.017348926,0.01738516,0.226514297,0.231416005,0.224587241,0.225249875,0.227672114,0.226125937,0.227712553,0.228878959,0.224264183,0.226191,0.22908598,0.024392851,0.230817452,0.029322466,0.02320437,0.024566775,0.029342577,0.024465319,0.230541336,0.024523294,0.227797519,0.023646427,0.022452101,0.024262408,0.028117725,0.02434937,0.024102978,0.023624686,0.023755129,0.022418693,0.022417198,0.022545024,0.022433816,0.022482775,0.024016016,0.022404043,0.022432679,0.030704845,0.027776321,0.022408376,0.022437643,0.022419633,0.022697091,0.024182693,0.022445186,0.022442333,0.022432355,0.223779122,0.22616326,0.022457964,0.022411457,0.022437805,0.022411859,0.227891882,0.231347758,0.227784374,0.022429501,0.227329151,0.022422457,0.227577657,0.230602922,0.227705306,0.227363064,0.22668095,0.22745758,0.230645005,0.227594055,0.206607353,0.227463067,0.206599065,0.226252065
0.028421291,0.001163389,0.001606814,0.000836186,0.001286793,0.001881963,0.001976913,0.017341679,0.000683491,0.022748664,0.000814372,0.023742184,0.000843457,0.028342993,0.023069805,0.029776549,0.029800983,0.207091282,0.024257604,0.031480378,0.001708653,0.030378608,0.000828915,0.000843457,0.000857999,0.226789536,0.231648145,0.224728039,0.22581149,0.228115042,0.226379481,0.228148622,0.229435089,0.224784338,0.226521699,0.229599326,0.02291714,0.231245906,0.029952511,0.022969374,0.023240913,0.029957346,0.022983788,0.230969838,0.023022523,0.228552282,0.023078946,0.023082005,0.023071408,0.028266271,0.022871835,0.023067892,0.023050092,0.022903713,0.023048269,0.023032657,0.023138886,0.023034463,0.023076714,0.023059127,0.023011316,0.023055005,0.03040959,0.028398395,0.02303063,0.023030963,0.023042401,0.022688175,0.023070069,0.023075099,0.023057886,0.023025727,0.223793173,0.22658564,0.023065914,0.02302656,0.023045601,0.023026179,0.228420732,0.231706481,0.22824173,0.023051939,0.228136802,0.023037266,0.22821773,0.230940133,0.228134448,0.227939432,0.227033915,0.227822974,0.231137041,0.228255421,0.207031105,0.228067555,0.207065205,0.226561662
0.029781576,0.022915507,0.023249193,0.022763172,0.022726902,0.02277768,0.022835712,0.023160889,0.022748664,0.000689134,0.022734156,0.023945109,0.022770426,0.029205385,0.020476716,0.030812066,0.031002869,0.20827793,0.025538892,0.03277697,0.023256447,0.031714655,0.02277768,0.022763172,0.022792188,0.22794695,0.232851055,0.226150101,0.226920681,0.229261031,0.227309142,0.229407596,0.230413595,0.225677036,0.227619337,0.230780726,0.001697445,0.232503174,0.030951894,0.001849444,0.002364816,0.031324303,0.001791747,0.232128902,0.001864288,0.229391692,0.002074655,0.02085924,0.001980352,0.028766495,0.001595888,0.002060147,0.002052893,0.001755477,0.021007575,0.020795282,0.02060411,0.02101542,0.020483662,0.001994861,0.020958154,0.021021591,0.031750925,0.029816145,0.020990216,0.02099052,0.020667194,0.000761348,0.002002115,0.020837821,0.02066085,0.020992342,0.225099892,0.227528955,0.021017701,0.020993102,0.020997907,0.020995308,0.229513688,0.232923323,0.229247913,0.02101092,0.229337744,0.020997546,0.229118053,0.23210632,0.229210819,0.228972677,0.228149283,0.229038611,0.232163285,0.229163039,0.208274111,0.229023489,0.208287058,0.227539707
