/home/asweeten/listeria/listeria_dataset/SE001_genome.fa,/home/asweeten/listeria/listeria_dataset/SE002_genome.fa,/home/asweeten/listeria/listeria_dataset/SE003_genome.fa,/home/asweeten/listeria/listeria_dataset/SE004_genome.fa,/home/asweeten/listeria/listeria_dataset/SE005_genome.fa,/home/asweeten/listeria/listeria_dataset/SE006_genome.fa,/home/asweeten/listeria/listeria_dataset/SE007_genome.fa,/home/asweeten/listeria/listeria_dataset/SE008_genome.fa,/home/asweeten/listeria/listeria_dataset/SE009_genome.fa,/home/asweeten/listeria/listeria_dataset/SE010_genome.fa,/home/asweeten/listeria/listeria_dataset/SE011_genome.fa,/home/asweeten/listeria/listeria_dataset/SE012_genome.fa,/home/asweeten/listeria/listeria_dataset/SE013_genome.fa,/home/asweeten/listeria/listeria_dataset/SE014_genome.fa,/home/asweeten/listeria/listeria_dataset/SE015_genome.fa,/home/asweeten/listeria/listeria_dataset/SE016_genome.fa,/home/asweeten/listeria/listeria_dataset/SE017_genome.fa,/home/asweeten/listeria/listeria_dataset/SE018_genome.fa,/home/asweeten/listeria/listeria_dataset/SE019_genome.fa,/home/asweeten/listeria/listeria_dataset/SE020_genome.fa,/home/asweeten/listeria/listeria_dataset/SE021_genome.fa,/home/asweeten/listeria/listeria_dataset/SE022_genome.fa,/home/asweeten/listeria/listeria_dataset/SE023_genome.fa,/home/asweeten/listeria/listeria_dataset/SE024_genome.fa,/home/asweeten/listeria/listeria_dataset/SE025_genome.fa,/home/asweeten/listeria/listeria_dataset/SE026_genome.fa,/home/asweeten/listeria/listeria_dataset/SE027_genome.fa,/home/asweeten/listeria/listeria_dataset/SE028_genome.fa,/home/asweeten/listeria/listeria_dataset/SE029_genome.fa,/home/asweeten/listeria/listeria_dataset/SE030_genome.fa,/home/asweeten/listeria/listeria_dataset/SE031_genome.fa,/home/asweeten/listeria/listeria_dataset/SE032_genome.fa,/home/asweeten/listeria/listeria_dataset/SE033_genome.fa,/home/asweeten/listeria/listeria_dataset/SE034_genome.fa,/home/asweeten/listeria/listeria_dataset/SE035_genome.fa,/home/asweeten/listeria/listeria_dataset/SE036_genome.fa,/home/asweeten/listeria/listeria_dataset/SE037_genome.fa,/home/asweeten/listeria/listeria_dataset/SE038_genome.fa,/home/asweeten/listeria/listeria_dataset/SE039_genome.fa,/home/asweeten/listeria/listeria_dataset/SE040_genome.fa,/home/asweeten/listeria/listeria_dataset/SE041_genome.fa,/home/asweeten/listeria/listeria_dataset/SE042_genome.fa,/home/asweeten/listeria/listeria_dataset/SE043_genome.fa,/home/asweeten/listeria/listeria_dataset/SE044_genome.fa,/home/asweeten/listeria/listeria_dataset/SE045_genome.fa,/home/asweeten/listeria/listeria_dataset/SE046_genome.fa,/home/asweeten/listeria/listeria_dataset/SE047_genome.fa,/home/asweeten/listeria/listeria_dataset/SE048_genome.fa,/home/asweeten/listeria/listeria_dataset/SE049_genome.fa,/home/asweeten/listeria/listeria_dataset/SE050_genome.fa,/home/asweeten/listeria/listeria_dataset/SE051_genome.fa,/home/asweeten/listeria/listeria_dataset/SE052_genome.fa,/home/asweeten/listeria/listeria_dataset/SE053_genome.fa,/home/asweeten/listeria/listeria_dataset/SE054_genome.fa,/home/asweeten/listeria/listeria_dataset/SE055_genome.fa,/home/asweeten/listeria/listeria_dataset/SE056_genome.fa,/home/asweeten/listeria/listeria_dataset/SE057_genome.fa,/home/asweeten/listeria/listeria_dataset/SE058_genome.fa,/home/asweeten/listeria/listeria_dataset/SE059_genome.fa,/home/asweeten/listeria/listeria_dataset/SE060_genome.fa,/home/asweeten/listeria/listeria_dataset/SE061_genome.fa,/home/asweeten/listeria/listeria_dataset/SE062_genome.fa,/home/asweeten/listeria/listeria_dataset/SE063_genome.fa,/home/asweeten/listeria/listeria_dataset/SE064_genome.fa,/home/asweeten/listeria/listeria_dataset/SE065_genome.fa,/home/asweeten/listeria/listeria_dataset/SE066_genome.fa,/home/asweeten/listeria/listeria_dataset/SE067_genome.fa,/home/asweeten/listeria/listeria_dataset/SE068_genome.fa,/home/asweeten/listeria/listeria_dataset/SE069_genome.fa,/home/asweeten/listeria/listeria_dataset/SE070_genome.fa,/home/asweeten/listeria/listeria_dataset/SE071_genome.fa,/home/asweeten/listeria/listeria_dataset/SE072_genome.fa,/home/asweeten/listeria/listeria_dataset/SE073_genome.fa,/home/asweeten/listeria/listeria_dataset/SE074_genome.fa,/home/asweeten/listeria/listeria_dataset/SE075_genome.fa,/home/asweeten/listeria/listeria_dataset/SE076_genome.fa,/home/asweeten/listeria/listeria_dataset/SE077_genome.fa,/home/asweeten/listeria/listeria_dataset/SE078_genome.fa,/home/asweeten/listeria/listeria_dataset/SE079_genome.fa,/home/asweeten/listeria/listeria_dataset/SE080_genome.fa,/home/asweeten/listeria/listeria_dataset/SE081_genome.fa,/home/asweeten/listeria/listeria_dataset/SE082_genome.fa,/home/asweeten/listeria/listeria_dataset/SE083_genome.fa,/home/asweeten/listeria/listeria_dataset/SE084_genome.fa,/home/asweeten/listeria/listeria_dataset/SE085_genome.fa,/home/asweeten/listeria/listeria_dataset/SE086_genome.fa,/home/asweeten/listeria/listeria_dataset/SE087_genome.fa,/home/asweeten/listeria/listeria_dataset/SE088_genome.fa,/home/asweeten/listeria/listeria_dataset/SE089_genome.fa,/home/asweeten/listeria/listeria_dataset/SE090_genome.fa,/home/asweeten/listeria/listeria_dataset/SE091_genome.fa,/home/asweeten/listeria/listeria_dataset/SE092_genome.fa,/home/asweeten/listeria/listeria_dataset/SE093_genome.fa,/home/asweeten/listeria/listeria_dataset/SE094_genome.fa,/home/asweeten/listeria/listeria_dataset/SE095_genome.fa,/home/asweeten/listeria/listeria_dataset/SE096_genome.fa
0.99842467,0.998382049,0.998390246,0.998385328,0.998386967,0.998383689,0.998385328,0.998393524,0.998383689,0.998395164,0.998383689,0.998388606,0.998385328,0.998409917,0.998383689,0.998364018,0.998388606,0.998434959,0.998383689,0.998360739,0.998385328,0.998362378,0.998383689,0.998386967,0.998386967,0.998480079,0.998494986,0.998508843,0.998403868,0.998451863,0.998440133,0.998483923,0.998473799,0.998503181,0.998460293,0.998485546,0.998395164,0.998509294,0.998391885,0.998395164,0.998391885,0.998388606,0.998390246,0.998513814,0.998393524,0.998427483,0.998391885,0.998385328,0.998388606,0.998408278,0.998391885,0.998391885,0.998391885,0.998393524,0.998383689,0.998385328,0.998385328,0.998385328,0.998385328,0.998393524,0.998383689,0.998383689,0.998364018,0.998424688,0.998385328,0.998385328,0.998383689,0.998395164,0.998393524,0.998385328,0.998385328,0.998385328,0.998504822,0.998440141,0.998383689,0.998385328,0.998385328,0.998385328,0.99843218,0.99849345,0.998450947,0.998383689,0.998475481,0.998385328,0.998449369,0.998516926,0.998450918,0.998450923,0.998480069,0.998450969,0.998512256,0.998449366,0.998436518,0.998450921,0.998434954,0.998460295
0.998382049,0.998406798,0.998403583,0.998406798,0.998405175,0.998405198,0.998403499,0.998399771,0.998405148,0.99840456,0.9984068,0.99841605,0.998405169,0.99838999,0.998402824,0.998385643,0.998359989,0.998416103,0.998414555,0.998367143,0.998405204,0.998366357,0.998406798,0.998406798,0.998406798,0.998492627,0.998470032,0.998505713,0.998424053,0.998473646,0.998447972,0.998471433,0.998476917,0.998514095,0.998444661,0.99847774,0.998402974,0.998501498,0.998366562,0.998404631,0.998401267,0.998366533,0.99839966,0.99851692,0.998402887,0.998414953,0.998402953,0.9984143,0.998404634,0.998388332,0.998399655,0.998399621,0.998402914,0.998402916,0.998407748,0.998406131,0.998410525,0.998409407,0.998407761,0.998402953,0.998406118,0.998404501,0.998368018,0.998388625,0.998407766,0.998411029,0.998406128,0.998402919,0.998401309,0.998412665,0.998407769,0.998414305,0.998504822,0.998452682,0.998406139,0.998407766,0.998406134,0.998404477,0.998422782,0.998465377,0.998461845,0.998406128,0.9984708,0.998406131,0.998460267,0.998516926,0.998461816,0.998461821,0.998492618,0.99846031,0.998515362,0.998460264,0.998416091,0.998460262,0.998416098,0.998446227
0.998390246,0.998403583,0.998401934,0.998405233,0.998403583,0.998405233,0.998401934,0.998398123,0.998403583,0.998406207,0.998405233,0.998417693,0.998405233,0.998393269,0.998404467,0.998385643,0.998363269,0.998419246,0.998416198,0.998368786,0.998401934,0.998366357,0.998405233,0.998405233,0.998405233,0.99848949,0.99847783,0.998510408,0.998425605,0.998475202,0.998451107,0.998472994,0.998473799,0.998517213,0.998444661,0.998485546,0.998404621,0.998499938,0.998366562,0.998406277,0.99840456,0.998371453,0.998404599,0.998520025,0.998404534,0.998411821,0.998406246,0.998411013,0.99840628,0.998389971,0.998402948,0.998402914,0.998406207,0.998404563,0.998406105,0.998407774,0.998412167,0.99841105,0.998409404,0.998406246,0.998407761,0.998406144,0.998368018,0.998390264,0.998409409,0.998411029,0.998407772,0.998404565,0.998404602,0.998411021,0.998409412,0.998409375,0.998506388,0.99845425,0.998407782,0.998407766,0.998407777,0.99840612,0.99841965,0.998468497,0.998463402,0.998406128,0.9984708,0.998407774,0.998461823,0.998518479,0.998463373,0.998463378,0.99848948,0.998463423,0.998518468,0.998461821,0.998420805,0.998461819,0.998419241,0.99844779
0.998385328,0.998406798,0.998405233,0.998410086,0.998408473,0.998406848,0.998403499,0.998401419,0.998405143,0.998406207,0.9984068,0.998419336,0.998405169,0.998391629,0.99840611,0.998388927,0.998363269,0.998417674,0.998416198,0.998367143,0.998406853,0.998368002,0.998408439,0.998410086,0.998406792,0.998495764,0.998471592,0.998511972,0.998425605,0.998475202,0.998452675,0.998472994,0.998478476,0.998515654,0.998446224,0.998479301,0.998407913,0.998503057,0.998368202,0.998406277,0.998402914,0.998368173,0.998404599,0.998523131,0.998404534,0.99841652,0.998404599,0.998415943,0.998407926,0.998389971,0.998404594,0.99840456,0.99840456,0.998406209,0.998407748,0.998407774,0.998412167,0.998412693,0.998409404,0.998404599,0.998406118,0.998406144,0.998369664,0.998390264,0.998409409,0.998412672,0.998407772,0.998407858,0.998406249,0.998414308,0.998409412,0.998415948,0.998509519,0.998455818,0.998407782,0.998409409,0.998407777,0.99840612,0.998424348,0.998463818,0.998463402,0.998406128,0.99847236,0.998407774,0.998461823,0.998523138,0.998463373,0.998463378,0.998495755,0.998463423,0.998521574,0.998461821,0.998417662,0.998463376,0.998417669,0.99844779
0.998386967,0.998405175,0.998403583,0.998408473,0.998406824,0.998405198,0.998403525,0.998399771,0.998405175,0.998402914,0.998408473,0.998419336,0.998406824,0.998393269,0.99840611,0.998385643,0.998363269,0.998419246,0.998417841,0.998370429,0.998405204,0.998366357,0.998408473,0.998410122,0.998406824,0.998492627,0.998476271,0.998510408,0.998425605,0.998476758,0.998451107,0.998472994,0.998475358,0.998517213,0.998446224,0.998483985,0.998402974,0.998501498,0.998369842,0.998404631,0.998402914,0.998369813,0.998401307,0.998520025,0.998402887,0.998413387,0.998402953,0.998411013,0.998402987,0.998389971,0.998401301,0.998401267,0.99840456,0.998402916,0.998407748,0.998409417,0.998412167,0.998409407,0.998409404,0.998402953,0.998407761,0.998407787,0.998369664,0.998391903,0.998411053,0.998409386,0.998409415,0.998402919,0.998402956,0.998409378,0.998409412,0.998411019,0.998507953,0.998452682,0.998409425,0.998409409,0.99840942,0.998407764,0.99841965,0.998466937,0.998463402,0.998407772,0.99847236,0.998409417,0.998461823,0.998521585,0.998463373,0.998464935,0.998494186,0.99846498,0.998520021,0.998463378,0.998420805,0.998463376,0.998419241,0.99844779
0.998383689,0.998405198,0.998405233,0.998406848,0.998405198,0.998410146,0.998405198,0.998398123,0.998405198,0.998401267,0.998406848,0.998414407,0.998406848,0.99838999,0.998399537,0.998385643,0.998363269,0.998417674,0.998404698,0.998370429,0.998406853,0.998369647,0.998406848,0.998406848,0.998405198,0.998492627,0.998471592,0.998505713,0.998428711,0.998478314,0.998454243,0.998474555,0.998476917,0.998517213,0.998446224,0.998479301,0.998401328,0.998503057,0.998368202,0.998401338,0.998401267,0.998368173,0.998402953,0.99852779,0.998399594,0.99841652,0.998401307,0.998399511,0.998399694,0.998389971,0.998399655,0.998399621,0.998401267,0.998399623,0.998399532,0.998399558,0.998402315,0.998399548,0.998402832,0.998401307,0.998402832,0.998401215,0.998371309,0.998386986,0.99839955,0.998402813,0.998402842,0.998401272,0.998401309,0.998402805,0.998399553,0.998399516,0.998507953,0.998452682,0.998402853,0.99839955,0.998402847,0.998399548,0.998424348,0.998466937,0.998464959,0.998397913,0.99847236,0.998399558,0.99846338,0.998527797,0.99846493,0.998463378,0.998492618,0.998463423,0.998526233,0.998463378,0.998419233,0.998463376,0.998419241,0.99844779
0.998385328,0.998403499,0.998401934,0.998403499,0.998403525,0.998405198,0.998405148,0.998399771,0.998403499,0.998397974,0.998405151,0.99841605,0.998405169,0.99838999,0.998402824,0.998384,0.998363269,0.998419246,0.998409626,0.998370429,0.998403554,0.998366357,0.998405148,0.998405148,0.998403499,0.998491059,0.998471592,0.998505713,0.998427158,0.998478314,0.998454243,0.998472994,0.998475358,0.998517213,0.998446224,0.998479301,0.998398035,0.998503057,0.998369842,0.998398045,0.998396328,0.998369813,0.998396367,0.998523131,0.998396301,0.998413387,0.998396367,0.998406084,0.998399694,0.998388332,0.998396362,0.998394681,0.998397974,0.99839633,0.998404462,0.998404488,0.998408883,0.998404477,0.998406118,0.998396367,0.998404475,0.998404501,0.998368018,0.998386986,0.998406123,0.9984061,0.998406128,0.998397979,0.99839637,0.998406092,0.998406126,0.998406089,0.998504822,0.998455818,0.998406139,0.99840448,0.998406134,0.998404477,0.998424348,0.998466937,0.998463402,0.998404485,0.99847236,0.998406131,0.998461823,0.998523138,0.998463373,0.998463378,0.99848948,0.99846498,0.998523127,0.998461821,0.998420805,0.998461819,0.998419241,0.99844779
0.998393524,0.998399771,0.998398123,0.998401419,0.998399771,0.998398123,0.998399771,0.998401419,0.998401419,0.998389742,0.998403067,0.998388117,0.998399771,0.998386711,0.998388035,0.998377431,0.998364909,0.998416103,0.998388268,0.998376999,0.998398123,0.998371293,0.998401419,0.998401419,0.998399771,0.99847851,0.998471592,0.998488502,0.998420947,0.998470534,0.998429159,0.99846831,0.998473799,0.998507858,0.998441535,0.998476179,0.998388156,0.998492142,0.998368202,0.998389813,0.998386449,0.998368173,0.998386489,0.998502943,0.998388069,0.998410255,0.998386489,0.998389652,0.998386523,0.998385053,0.998386483,0.998383156,0.998386449,0.998388098,0.99838803,0.998388056,0.998389178,0.998389689,0.998389686,0.998386489,0.998389686,0.998388069,0.998372954,0.998391903,0.998389691,0.998389668,0.998388054,0.998388101,0.998384845,0.99838966,0.998388051,0.998389657,0.998482903,0.998435437,0.998388064,0.998388048,0.998388059,0.998388046,0.998416517,0.998465377,0.998469629,0.998388054,0.998458317,0.998389699,0.998471165,0.99850295,0.998471157,0.998471162,0.998478501,0.998471207,0.998501385,0.998471162,0.998417662,0.99847116,0.998416098,0.998441537
0.998383689,0.998405148,0.998403583,0.998405143,0.998405175,0.998405198,0.998403499,0.998401419,0.998405143,0.998401267,0.9984068,0.998419336,0.998405169,0.998391629,0.998404467,0.998388927,0.998361629,0.998417674,0.998416198,0.998368786,0.998405204,0.998368002,0.998405143,0.998406792,0.998405143,0.998495764,0.998471592,0.998508843,0.998425605,0.998475202,0.998449539,0.998472994,0.998476917,0.998517213,0.998446224,0.99847774,0.998401328,0.998503057,0.998368202,0.998401338,0.998401267,0.998368173,0.99839966,0.998521578,0.998401241,0.99841652,0.998401307,0.998411013,0.998404634,0.998389971,0.998399655,0.998397974,0.998402914,0.998399623,0.998407748,0.998407774,0.998412167,0.99841105,0.998409404,0.998402953,0.998406118,0.998406144,0.998369664,0.998388625,0.998409409,0.998411029,0.998407772,0.998401272,0.998399663,0.998411021,0.998409412,0.998412662,0.998506388,0.99845425,0.998407782,0.998409409,0.998407777,0.99840612,0.998424348,0.998466937,0.998463402,0.998406128,0.99847236,0.998407774,0.998461823,0.998520032,0.998463373,0.998463378,0.998495755,0.998461867,0.998520021,0.998461821,0.998417662,0.998461819,0.998417669,0.99844779
0.998395164,0.99840456,0.998406207,0.998406207,0.998402914,0.998401267,0.998397974,0.998389742,0.998401267,0.998416085,0.998402914,0.998406191,0.998402914,0.998385071,0.998384749,0.998362651,0.998355069,0.998419246,0.998412912,0.998362215,0.9984095,0.998364712,0.998406207,0.998406207,0.998402914,0.998486353,0.998476271,0.99852136,0.998411631,0.998476758,0.998429159,0.998466749,0.998469122,0.998518773,0.998446224,0.998479301,0.99840956,0.99849526,0.998363282,0.99840957,0.998411146,0.998363253,0.998406246,0.99851692,0.998414439,0.998402423,0.998414478,0.998396225,0.998402987,0.998389971,0.99841118,0.998411146,0.9984095,0.998411149,0.998389673,0.998391342,0.998392462,0.998394618,0.998388043,0.998414478,0.998389686,0.998388069,0.998366373,0.998396821,0.998391335,0.998392954,0.99839134,0.998412798,0.998412834,0.998394589,0.99839298,0.998394587,0.99852361,0.998432302,0.99839135,0.998391335,0.998391345,0.998389689,0.99840712,0.998466937,0.998468072,0.998389697,0.998461438,0.998389699,0.998464937,0.998516926,0.998466487,0.998466492,0.998486343,0.998461867,0.998512256,0.998464935,0.998420805,0.998466489,0.998420812,0.998446227
