/home/asweeten/listeria/listeria_dataset/SE001_genome.fa,/home/asweeten/listeria/listeria_dataset/SE002_genome.fa,/home/asweeten/listeria/listeria_dataset/SE003_genome.fa,/home/asweeten/listeria/listeria_dataset/SE004_genome.fa,/home/asweeten/listeria/listeria_dataset/SE005_genome.fa,/home/asweeten/listeria/listeria_dataset/SE006_genome.fa,/home/asweeten/listeria/listeria_dataset/SE007_genome.fa,/home/asweeten/listeria/listeria_dataset/SE008_genome.fa,/home/asweeten/listeria/listeria_dataset/SE009_genome.fa,/home/asweeten/listeria/listeria_dataset/SE010_genome.fa,/home/asweeten/listeria/listeria_dataset/SE011_genome.fa,/home/asweeten/listeria/listeria_dataset/SE012_genome.fa,/home/asweeten/listeria/listeria_dataset/SE013_genome.fa,/home/asweeten/listeria/listeria_dataset/SE014_genome.fa,/home/asweeten/listeria/listeria_dataset/SE015_genome.fa,/home/asweeten/listeria/listeria_dataset/SE016_genome.fa,/home/asweeten/listeria/listeria_dataset/SE017_genome.fa,/home/asweeten/listeria/listeria_dataset/SE018_genome.fa,/home/asweeten/listeria/listeria_dataset/SE019_genome.fa,/home/asweeten/listeria/listeria_dataset/SE020_genome.fa,/home/asweeten/listeria/listeria_dataset/SE021_genome.fa,/home/asweeten/listeria/listeria_dataset/SE022_genome.fa,/home/asweeten/listeria/listeria_dataset/SE023_genome.fa,/home/asweeten/listeria/listeria_dataset/SE024_genome.fa,/home/asweeten/listeria/listeria_dataset/SE025_genome.fa,/home/asweeten/listeria/listeria_dataset/SE026_genome.fa,/home/asweeten/listeria/listeria_dataset/SE027_genome.fa,/home/asweeten/listeria/listeria_dataset/SE028_genome.fa,/home/asweeten/listeria/listeria_dataset/SE029_genome.fa,/home/asweeten/listeria/listeria_dataset/SE030_genome.fa,/home/asweeten/listeria/listeria_dataset/SE031_genome.fa,/home/asweeten/listeria/listeria_dataset/SE032_genome.fa,/home/asweeten/listeria/listeria_dataset/SE033_genome.fa,/home/asweeten/listeria/listeria_dataset/SE034_genome.fa,/home/asweeten/listeria/listeria_dataset/SE035_genome.fa,/home/asweeten/listeria/listeria_dataset/SE036_genome.fa,/home/asweeten/listeria/listeria_dataset/SE037_genome.fa,/home/asweeten/listeria/listeria_dataset/SE038_genome.fa,/home/asweeten/listeria/listeria_dataset/SE039_genome.fa,/home/asweeten/listeria/listeria_dataset/SE040_genome.fa,/home/asweeten/listeria/listeria_dataset/SE041_genome.fa,/home/asweeten/listeria/listeria_dataset/SE042_genome.fa,/home/asweeten/listeria/listeria_dataset/SE043_genome.fa,/home/asweeten/listeria/listeria_dataset/SE044_genome.fa,/home/asweeten/listeria/listeria_dataset/SE045_genome.fa,/home/asweeten/listeria/listeria_dataset/SE046_genome.fa,/home/asweeten/listeria/listeria_dataset/SE047_genome.fa,/home/asweeten/listeria/listeria_dataset/SE048_genome.fa,/home/asweeten/listeria/listeria_dataset/SE049_genome.fa,/home/asweeten/listeria/listeria_dataset/SE050_genome.fa,/home/asweeten/listeria/listeria_dataset/SE051_genome.fa,/home/asweeten/listeria/listeria_dataset/SE052_genome.fa,/home/asweeten/listeria/listeria_dataset/SE053_genome.fa,/home/asweeten/listeria/listeria_dataset/SE054_genome.fa,/home/asweeten/listeria/listeria_dataset/SE055_genome.fa,/home/asweeten/listeria/listeria_dataset/SE056_genome.fa,/home/asweeten/listeria/listeria_dataset/SE057_genome.fa,/home/asweeten/listeria/listeria_dataset/SE058_genome.fa,/home/asweeten/listeria/listeria_dataset/SE059_genome.fa,/home/asweeten/listeria/listeria_dataset/SE060_genome.fa,/home/asweeten/listeria/listeria_dataset/SE061_genome.fa,/home/asweeten/listeria/listeria_dataset/SE062_genome.fa,/home/asweeten/listeria/listeria_dataset/SE063_genome.fa,/home/asweeten/listeria/listeria_dataset/SE064_genome.fa,/home/asweeten/listeria/listeria_dataset/SE065_genome.fa,/home/asweeten/listeria/listeria_dataset/SE066_genome.fa,/home/asweeten/listeria/listeria_dataset/SE067_genome.fa,/home/asweeten/listeria/listeria_dataset/SE068_genome.fa,/home/asweeten/listeria/listeria_dataset/SE069_genome.fa,/home/asweeten/listeria/listeria_dataset/SE070_genome.fa,/home/asweeten/listeria/listeria_dataset/SE071_genome.fa,/home/asweeten/listeria/listeria_dataset/SE072_genome.fa,/home/asweeten/listeria/listeria_dataset/SE073_genome.fa,/home/asweeten/listeria/listeria_dataset/SE074_genome.fa,/home/asweeten/listeria/listeria_dataset/SE075_genome.fa,/home/asweeten/listeria/listeria_dataset/SE076_genome.fa,/home/asweeten/listeria/listeria_dataset/SE077_genome.fa,/home/asweeten/listeria/listeria_dataset/SE078_genome.fa,/home/asweeten/listeria/listeria_dataset/SE079_genome.fa,/home/asweeten/listeria/listeria_dataset/SE080_genome.fa,/home/asweeten/listeria/listeria_dataset/SE081_genome.fa,/home/asweeten/listeria/listeria_dataset/SE082_genome.fa,/home/asweeten/listeria/listeria_dataset/SE083_genome.fa,/home/asweeten/listeria/listeria_dataset/SE084_genome.fa,/home/asweeten/listeria/listeria_dataset/SE085_genome.fa,/home/asweeten/listeria/listeria_dataset/SE086_genome.fa,/home/asweeten/listeria/listeria_dataset/SE087_genome.fa,/home/asweeten/listeria/listeria_dataset/SE088_genome.fa,/home/asweeten/listeria/listeria_dataset/SE089_genome.fa,/home/asweeten/listeria/listeria_dataset/SE090_genome.fa,/home/asweeten/listeria/listeria_dataset/SE091_genome.fa,/home/asweeten/listeria/listeria_dataset/SE092_genome.fa,/home/asweeten/listeria/listeria_dataset/SE093_genome.fa,/home/asweeten/listeria/listeria_dataset/SE094_genome.fa,/home/asweeten/listeria/listeria_dataset/SE095_genome.fa,/home/asweeten/listeria/listeria_dataset/SE096_genome.fa
0.000680591,0.028613785,0.028925119,0.028490699,0.028440017,0.02851242,0.028534141,0.027723224,0.028454497,0.029888083,0.028490699,0.026724058,0.028483459,0.024819852,0.028237287,0.025746614,0.025797296,0.203469572,0.027303285,0.023749007,0.028903398,0.024486796,0.028468978,0.028490699,0.028476218,0.224561428,0.228932132,0.222010513,0.222900351,0.225003469,0.22354865,0.225091388,0.226258769,0.221963936,0.223377089,0.226360533,0.029895323,0.228498809,0.025904776,0.03004737,0.030322502,0.025962132,0.03004737,0.228210995,0.03005461,0.225029254,0.030119773,0.028244528,0.030083572,0.024711247,0.029844641,0.030184936,0.030090812,0.030018409,0.028244528,0.028215566,0.028244528,0.028237287,0.028273489,0.030098052,0.028201086,0.028215566,0.024718487,0.000825398,0.028186605,0.028237287,0.028201086,0.029808439,0.030090812,0.028230047,0.028230047,0.028208326,0.221823452,0.223651476,0.028201086,0.028201086,0.028208326,0.028237287,0.224982326,0.228975504,0.224844858,0.028230047,0.225100802,0.028208326,0.224529948,0.228086529,0.224694257,0.224648175,0.224421882,0.225073274,0.228541706,0.224544556,0.203569984,0.224575817,0.203702427,0.223291295
0.028613785,0.000676259,0.001744234,0.001170413,0.001526626,0.002114284,0.002173561,0.017402768,0.001141642,0.022849587,0.001185211,0.023814488,0.001228454,0.028415257,0.023224071,0.029679964,0.029759566,0.206274051,0.024366689,0.031564037,0.001854016,0.030437503,0.001191633,0.001213837,0.001220839,0.226697481,0.23139513,0.224532239,0.225146481,0.227329177,0.22604817,0.227693682,0.228682341,0.224270931,0.225675887,0.228696467,0.022981451,0.23090709,0.029908504,0.023103659,0.023385865,0.029980253,0.023070455,0.230760721,0.02309421,0.227669597,0.023212687,0.023222398,0.023181099,0.028330552,0.022928007,0.023192239,0.023199842,0.023042203,0.023210607,0.023176919,0.023320698,0.023195778,0.023240768,0.023170583,0.023210916,0.02321414,0.030467663,0.028573653,0.023189015,0.023195274,0.023194881,0.022814227,0.023195123,0.023209247,0.023219503,0.02318786,0.224232509,0.226320617,0.023210762,0.023187839,0.02320703,0.023217145,0.227394135,0.231345501,0.227170452,0.02320099,0.227518294,0.023189897,0.226951948,0.230740739,0.226996653,0.227014445,0.226493121,0.22745742,0.230980777,0.226854021,0.206368585,0.22698442,0.206325054,0.225660676
0.028925119,0.001744234,0.000683158,0.001627951,0.001976798,0.002601078,0.002623618,0.017744141,0.001606148,0.023220121,0.001620684,0.02412631,0.001642487,0.028719629,0.023579356,0.030013203,0.030092723,0.206450656,0.024671091,0.031882427,0.001213696,0.03072766,0.001722055,0.001649754,0.001736789,0.226860161,0.23139513,0.224715381,0.225223692,0.227511861,0.226181947,0.227707748,0.228745749,0.224341267,0.225816486,0.228844222,0.023315568,0.231075599,0.030205345,0.023416166,0.023749112,0.030306047,0.023411863,0.230929298,0.023428487,0.227704896,0.023554157,0.023570299,0.023529796,0.02865669,0.023269457,0.023526463,0.023519539,0.023837859,0.02355844,0.023517436,0.023683271,0.02353636,0.023588727,0.023605294,0.023558971,0.023554778,0.030772412,0.028892264,0.023536959,0.023557587,0.023543022,0.023162868,0.023536548,0.023557169,0.023560433,0.023557416,0.224246597,0.22629949,0.023565954,0.023535765,0.023562388,0.023572546,0.227506968,0.231598676,0.227226659,0.023548896,0.227686956,0.023537636,0.227211699,0.230796913,0.227115985,0.227161898,0.226818298,0.227478519,0.231072155,0.227106729,0.206389787,0.22718104,0.206381606,0.225660676
0.028490699,0.001170413,0.001627951,0.000683347,0.001286728,0.001910848,0.001977287,0.017257502,0.000836009,0.022733341,0.000850549,0.023662203,0.000901351,0.028263071,0.02311531,0.029506101,0.0296292,0.206118639,0.024228983,0.031477203,0.001766524,0.030343202,0.000871927,0.000886755,0.000893829,0.226633824,0.231275499,0.22449702,0.224999079,0.227406467,0.226132661,0.22740532,0.228463938,0.224256864,0.225619647,0.228647216,0.022857973,0.230815814,0.029778184,0.022972843,0.023269626,0.029849936,0.022954231,0.230732625,0.02299974,0.227528402,0.023089176,0.023077439,0.023064867,0.028200097,0.022819033,0.023097784,0.023076322,0.023124749,0.023072924,0.023032018,0.023168417,0.023065343,0.023103034,0.023061562,0.023080395,0.023069188,0.030387848,0.028465035,0.023051287,0.023050349,0.023057075,0.02269075,0.023078893,0.02306428,0.023074426,0.02307192,0.224232509,0.226193851,0.023073034,0.023050118,0.023076491,0.023086589,0.227401187,0.23128924,0.2271564,0.023056029,0.227448018,0.02305225,0.226909826,0.230572218,0.226870302,0.227000402,0.22650019,0.227373026,0.230713674,0.22686806,0.20615657,0.226836954,0.206105912,0.225527091
0.028440017,0.001526626,0.001976798,0.001286728,0.000683347,0.001889051,0.001948209,0.017257502,0.001279458,0.022733341,0.001293997,0.023705713,0.001359296,0.028277565,0.023122561,0.029520589,0.029621958,0.206210474,0.024236231,0.031441023,0.002086389,0.030343202,0.001329688,0.00134467,0.001351644,0.226732847,0.231268461,0.224588591,0.225083309,0.227329177,0.225956639,0.227517851,0.228661205,0.22420763,0.225654797,0.228851258,0.0228725,0.230871984,0.029770944,0.022965575,0.023269626,0.029842696,0.022976023,0.23055,0.022985206,0.227697836,0.023089176,0.023091935,0.023064867,0.028207344,0.022833563,0.023068721,0.023061791,0.023139288,0.02310191,0.023053753,0.023175668,0.023079836,0.023117532,0.023061562,0.023080395,0.023090931,0.030373336,0.028465035,0.023073034,0.023064841,0.023071581,0.022705276,0.023071628,0.023086025,0.023088934,0.023079167,0.224211377,0.226222021,0.023102029,0.023064615,0.023090995,0.023115602,0.227492864,0.231366599,0.22708614,0.023077773,0.227476128,0.023066739,0.226874725,0.230558174,0.226877322,0.226944229,0.226521397,0.227373026,0.230734762,0.226903159,0.206241376,0.22701953,0.206282639,0.225653645
0.02851242,0.002114284,0.002601078,0.001910848,0.001889051,0.000675699,0.001859989,0.017351925,0.001889051,0.022776933,0.001910848,0.023763726,0.001925379,0.028371775,0.02321682,0.02962201,0.029723353,0.206182217,0.02430146,0.031506148,0.002644671,0.030401233,0.001910848,0.001918113,0.001932644,0.226669189,0.23129661,0.224560415,0.225209653,0.227329177,0.22597072,0.227545984,0.22864007,0.224334233,0.225647767,0.228605,0.022930607,0.230843899,0.029865064,0.023286186,0.02332048,0.029936814,0.023012343,0.230859057,0.023206264,0.227676657,0.023161829,0.023200654,0.023122983,0.028265324,0.022869888,0.023140874,0.02314814,0.023714855,0.023174375,0.023133448,0.023277189,0.023159546,0.023204522,0.023467825,0.02317466,0.02318515,0.030438639,0.028501241,0.02316002,0.023180781,0.023158616,0.02273433,0.023151537,0.023194751,0.02317598,0.023173367,0.224197289,0.226362873,0.023181766,0.023158845,0.023192526,0.023202639,0.227281302,0.231352534,0.227310971,0.02316475,0.227546404,0.023153674,0.227071293,0.230761804,0.226884341,0.227105726,0.226549673,0.227373026,0.23095969,0.226889119,0.206396854,0.22701953,0.206339192,0.225681768
0.028534141,0.002173561,0.002623618,0.001977287,0.001948209,0.001859989,0.000683327,0.017366451,0.001962748,0.02281326,0.001977287,0.023778229,0.002064385,0.028371775,0.023187817,0.029600277,0.029694383,0.20620341,0.024315955,0.031513384,0.00270423,0.030408487,0.002034496,0.002049713,0.002056533,0.226803577,0.23134587,0.22462381,0.225434266,0.227378361,0.225949598,0.227496752,0.228745749,0.224172462,0.225682917,0.228802007,0.022930607,0.231033472,0.029828864,0.023038251,0.023342275,0.029915095,0.023026871,0.230781793,0.023043342,0.22759194,0.02317636,0.023171662,0.023130247,0.028279819,0.022906212,0.02315591,0.023134449,0.02321131,0.023159882,0.023118958,0.023248183,0.023145053,0.023190024,0.023141511,0.023152907,0.023156159,0.030431383,0.028501241,0.023138273,0.023151796,0.02314411,0.022763383,0.023151537,0.023165757,0.023161472,0.023144382,0.224225465,0.226151595,0.023167269,0.023137099,0.023163517,0.023173626,0.227457604,0.231268142,0.227184504,0.023150254,0.227602625,0.023139185,0.226923867,0.230600304,0.226961556,0.227133812,0.22657795,0.227485552,0.231001864,0.226994414,0.206220174,0.226935264,0.206452297,0.225646614
0.027723224,0.017402768,0.017744141,0.017257502,0.017257502,0.017351925,0.017366451,0.000697273,0.017257502,0.022421679,0.017272029,0.022929784,0.017301082,0.027545624,0.022419241,0.028730959,0.028962887,0.205581762,0.023504215,0.030731881,0.017744141,0.029567031,0.017279292,0.017286556,0.017301082,0.226167005,0.230937716,0.224088472,0.224760427,0.226872467,0.225463775,0.227095858,0.22811872,0.223666048,0.22506428,0.228295418,0.022254624,0.230317307,0.029068662,0.022922844,0.022879265,0.029176629,0.02239989,0.230304158,0.022835685,0.227161296,0.022726736,0.022388885,0.022603261,0.027446355,0.02239989,0.022748526,0.022777579,0.02333685,0.022377258,0.022358228,0.022494031,0.022369687,0.022421614,0.023082636,0.022384285,0.022395159,0.029625975,0.027719195,0.022369897,0.022376447,0.022382552,0.022102096,0.022588734,0.022375686,0.02239982,0.022383531,0.223767603,0.225714955,0.02241339,0.022368762,0.022394784,0.022397546,0.226872282,0.230846184,0.226629452,0.022381961,0.227019335,0.022371259,0.226544771,0.230073675,0.226266625,0.226466763,0.226005355,0.226873691,0.230439542,0.226460921,0.205661867,0.22649989,0.205710044,0.225147427
0.028454497,0.001141642,0.001606148,0.000836009,0.001279458,0.001889051,0.001962748,0.017257502,0.0006836,0.02271881,0.000821649,0.023676706,0.000857737,0.028248577,0.023093558,0.029491612,0.029578503,0.206076254,0.02420724,0.031441023,0.001715874,0.030314186,0.00082833,0.000843144,0.000857494,0.226768212,0.231324759,0.224447712,0.225076289,0.227357283,0.225977761,0.227531918,0.22864007,0.224256864,0.225577468,0.228576856,0.022828919,0.230921132,0.029720264,0.022958308,0.023262361,0.029813737,0.022932439,0.230739649,0.022948872,0.22758488,0.02306738,0.023062943,0.023050338,0.028200097,0.022789974,0.02305419,0.023039993,0.022882239,0.023058431,0.023032018,0.023153914,0.023058096,0.023095785,0.023047026,0.023065893,0.023047445,0.030358824,0.02843607,0.023051287,0.023035856,0.023057075,0.022676223,0.023042571,0.023049784,0.023074426,0.023050182,0.224126849,0.226243149,0.023065785,0.023050118,0.023061986,0.023072083,0.227182573,0.231324403,0.227135322,0.023063277,0.227574514,0.02305225,0.226916846,0.230579239,0.226926458,0.226958273,0.226528466,0.22740819,0.230812081,0.22686806,0.206213107,0.226991442,0.206254363,0.225660676
0.029888083,0.022849587,0.023220121,0.022733341,0.022733341,0.022776933,0.02281326,0.022421679,0.02271881,0.000682945,0.022733341,0.024807967,0.022762402,0.029755941,0.021005349,0.030868032,0.031070464,0.207312486,0.025635032,0.032765236,0.023176528,0.031619894,0.02271881,0.022747872,0.022755137,0.228090867,0.232401441,0.225821278,0.226388872,0.228741465,0.227097265,0.228783832,0.229654588,0.225649502,0.226772561,0.230082549,0.00172143,0.231981338,0.031197227,0.001838138,0.002361108,0.031268948,0.001837791,0.231954807,0.001888996,0.229003888,0.002077881,0.021084255,0.002026802,0.029635106,0.001620071,0.002085161,0.002041569,0.001765485,0.02108013,0.021054119,0.020927716,0.021072578,0.021131266,0.001990711,0.020912303,0.021068843,0.031657636,0.02985534,0.021079605,0.021050381,0.020678113,0.00075539,0.002041287,0.02107823,0.020586363,0.021050229,0.225535654,0.227440389,0.021079605,0.021078535,0.020792049,0.020685816,0.228663509,0.232323037,0.228610774,0.021077313,0.228797315,0.021067235,0.228194539,0.231801019,0.228239105,0.228383652,0.227921074,0.228779602,0.232063247,0.22827199,0.207471064,0.228360764,0.207540934,0.226785604
