ST131_extra/536.fasta,ST131_extra/apec_o1.fasta,ST131_extra/cft073.fasta,ST131_extra/e2348_69.fasta,ST131_extra/ec958.fasta,ST131_extra/ed1a.fasta,ST131_extra/na114.fasta,ST131_extra/s88.fasta,ST131_extra/se15.fasta,ST131_extra/uti89.fasta
0,0.0114365,0.0100301,0.0162364,0.0147817,0.0133341,0.0149926,0.0119158,0.0134651,0.00952505
0.0114365,0,0.0104669,0.0159851,0.0146941,0.0122132,0.0145491,0.00242275,0.0135242,0.00291213
0.0100301,0.0104669,0,0.0159488,0.0140599,0.01246,0.0145491,0.0108021,0.0136154,0.00988949
0.0162364,0.0159851,0.0159488,0,0.0169123,0.0168523,0.0170823,0.0162048,0.0162681,0.0159332
0.0147817,0.0146941,0.0140599,0.0169123,0,0.0154975,0.00169423,0.0141068,0.00467436,0.0143766
0.0133341,0.0122132,0.01246,0.0168523,0.0154975,0,0.0158969,0.0120995,0.0147719,0.0127888
0.0149926,0.0145491,0.0145491,0.0170823,0.00169423,0.0158969,0,0.0142199,0.00530294,0.014607
0.0119158,0.00242275,0.0108021,0.0162048,0.0141068,0.0120995,0.0142199,0,0.0133161,0.00376799
0.0134651,0.0135242,0.0136154,0.0162681,0.00467436,0.0147719,0.00530294,0.0133161,0,0.0132756
0.00952505,0.00291213,0.00988949,0.0159332,0.0143766,0.0127888,0.014607,0.00376799,0.0132756,0
