/home/asweeten/listeria/listeria_dataset/SE001_genome.fa,/home/asweeten/listeria/listeria_dataset/SE002_genome.fa,/home/asweeten/listeria/listeria_dataset/SE003_genome.fa,/home/asweeten/listeria/listeria_dataset/SE004_genome.fa,/home/asweeten/listeria/listeria_dataset/SE005_genome.fa,/home/asweeten/listeria/listeria_dataset/SE006_genome.fa,/home/asweeten/listeria/listeria_dataset/SE007_genome.fa,/home/asweeten/listeria/listeria_dataset/SE008_genome.fa,/home/asweeten/listeria/listeria_dataset/SE009_genome.fa,/home/asweeten/listeria/listeria_dataset/SE010_genome.fa,/home/asweeten/listeria/listeria_dataset/SE011_genome.fa,/home/asweeten/listeria/listeria_dataset/SE012_genome.fa,/home/asweeten/listeria/listeria_dataset/SE013_genome.fa,/home/asweeten/listeria/listeria_dataset/SE014_genome.fa,/home/asweeten/listeria/listeria_dataset/SE015_genome.fa,/home/asweeten/listeria/listeria_dataset/SE016_genome.fa,/home/asweeten/listeria/listeria_dataset/SE017_genome.fa,/home/asweeten/listeria/listeria_dataset/SE018_genome.fa,/home/asweeten/listeria/listeria_dataset/SE019_genome.fa,/home/asweeten/listeria/listeria_dataset/SE020_genome.fa,/home/asweeten/listeria/listeria_dataset/SE021_genome.fa,/home/asweeten/listeria/listeria_dataset/SE022_genome.fa,/home/asweeten/listeria/listeria_dataset/SE023_genome.fa,/home/asweeten/listeria/listeria_dataset/SE024_genome.fa,/home/asweeten/listeria/listeria_dataset/SE025_genome.fa,/home/asweeten/listeria/listeria_dataset/SE026_genome.fa,/home/asweeten/listeria/listeria_dataset/SE027_genome.fa,/home/asweeten/listeria/listeria_dataset/SE028_genome.fa,/home/asweeten/listeria/listeria_dataset/SE029_genome.fa,/home/asweeten/listeria/listeria_dataset/SE030_genome.fa,/home/asweeten/listeria/listeria_dataset/SE031_genome.fa,/home/asweeten/listeria/listeria_dataset/SE032_genome.fa,/home/asweeten/listeria/listeria_dataset/SE033_genome.fa,/home/asweeten/listeria/listeria_dataset/SE034_genome.fa,/home/asweeten/listeria/listeria_dataset/SE035_genome.fa,/home/asweeten/listeria/listeria_dataset/SE036_genome.fa,/home/asweeten/listeria/listeria_dataset/SE037_genome.fa,/home/asweeten/listeria/listeria_dataset/SE038_genome.fa,/home/asweeten/listeria/listeria_dataset/SE039_genome.fa,/home/asweeten/listeria/listeria_dataset/SE040_genome.fa,/home/asweeten/listeria/listeria_dataset/SE041_genome.fa,/home/asweeten/listeria/listeria_dataset/SE042_genome.fa,/home/asweeten/listeria/listeria_dataset/SE043_genome.fa,/home/asweeten/listeria/listeria_dataset/SE044_genome.fa,/home/asweeten/listeria/listeria_dataset/SE045_genome.fa,/home/asweeten/listeria/listeria_dataset/SE046_genome.fa,/home/asweeten/listeria/listeria_dataset/SE047_genome.fa,/home/asweeten/listeria/listeria_dataset/SE048_genome.fa,/home/asweeten/listeria/listeria_dataset/SE049_genome.fa,/home/asweeten/listeria/listeria_dataset/SE050_genome.fa,/home/asweeten/listeria/listeria_dataset/SE051_genome.fa,/home/asweeten/listeria/listeria_dataset/SE052_genome.fa,/home/asweeten/listeria/listeria_dataset/SE053_genome.fa,/home/asweeten/listeria/listeria_dataset/SE054_genome.fa,/home/asweeten/listeria/listeria_dataset/SE055_genome.fa,/home/asweeten/listeria/listeria_dataset/SE056_genome.fa,/home/asweeten/listeria/listeria_dataset/SE057_genome.fa,/home/asweeten/listeria/listeria_dataset/SE058_genome.fa,/home/asweeten/listeria/listeria_dataset/SE059_genome.fa,/home/asweeten/listeria/listeria_dataset/SE060_genome.fa,/home/asweeten/listeria/listeria_dataset/SE061_genome.fa,/home/asweeten/listeria/listeria_dataset/SE062_genome.fa,/home/asweeten/listeria/listeria_dataset/SE063_genome.fa,/home/asweeten/listeria/listeria_dataset/SE064_genome.fa,/home/asweeten/listeria/listeria_dataset/SE065_genome.fa,/home/asweeten/listeria/listeria_dataset/SE066_genome.fa,/home/asweeten/listeria/listeria_dataset/SE067_genome.fa,/home/asweeten/listeria/listeria_dataset/SE068_genome.fa,/home/asweeten/listeria/listeria_dataset/SE069_genome.fa,/home/asweeten/listeria/listeria_dataset/SE070_genome.fa,/home/asweeten/listeria/listeria_dataset/SE071_genome.fa,/home/asweeten/listeria/listeria_dataset/SE072_genome.fa,/home/asweeten/listeria/listeria_dataset/SE073_genome.fa,/home/asweeten/listeria/listeria_dataset/SE074_genome.fa,/home/asweeten/listeria/listeria_dataset/SE075_genome.fa,/home/asweeten/listeria/listeria_dataset/SE076_genome.fa,/home/asweeten/listeria/listeria_dataset/SE077_genome.fa,/home/asweeten/listeria/listeria_dataset/SE078_genome.fa,/home/asweeten/listeria/listeria_dataset/SE079_genome.fa,/home/asweeten/listeria/listeria_dataset/SE080_genome.fa,/home/asweeten/listeria/listeria_dataset/SE081_genome.fa,/home/asweeten/listeria/listeria_dataset/SE082_genome.fa,/home/asweeten/listeria/listeria_dataset/SE083_genome.fa,/home/asweeten/listeria/listeria_dataset/SE084_genome.fa,/home/asweeten/listeria/listeria_dataset/SE085_genome.fa,/home/asweeten/listeria/listeria_dataset/SE086_genome.fa,/home/asweeten/listeria/listeria_dataset/SE087_genome.fa,/home/asweeten/listeria/listeria_dataset/SE088_genome.fa,/home/asweeten/listeria/listeria_dataset/SE089_genome.fa,/home/asweeten/listeria/listeria_dataset/SE090_genome.fa,/home/asweeten/listeria/listeria_dataset/SE091_genome.fa,/home/asweeten/listeria/listeria_dataset/SE092_genome.fa,/home/asweeten/listeria/listeria_dataset/SE093_genome.fa,/home/asweeten/listeria/listeria_dataset/SE094_genome.fa,/home/asweeten/listeria/listeria_dataset/SE095_genome.fa,/home/asweeten/listeria/listeria_dataset/SE096_genome.fa
0.999576778,0.999540457,0.999540457,0.999543616,0.999542036,0.999543616,0.999538878,0.999545195,0.999543616,0.999548353,0.99953414,0.999546774,0.99953414,0.999560987,0.999557828,0.999556249,0.999572041,0.999568496,0.999559407,0.999548353,0.99953572,0.999551511,0.999532561,0.99953414,0.99953572,0.999550906,0.999533961,0.999550722,0.999543552,0.999560607,0.999546699,0.999586154,0.999585502,0.999595771,0.99957358,0.999585253,0.999551511,0.999552037,0.999570462,0.999553091,0.999549932,0.999570462,0.999549932,0.999545044,0.999545195,0.999544119,0.999548353,0.999556249,0.99953572,0.999560987,0.999548353,0.999543616,0.999546774,0.999545195,0.999557828,0.999556249,0.999565724,0.999557828,0.999559407,0.999548353,0.999559407,0.999556249,0.99955467,0.999573622,0.999557828,0.999559407,0.999557828,0.999548353,0.999545195,0.999557828,0.999557828,0.999557828,0.999550445,0.999563302,0.999556249,0.999556249,0.999556249,0.999557828,0.999550145,0.999538453,0.999552816,0.999557828,0.999580361,0.999557828,0.999555808,0.999551034,0.99955731,0.999554311,0.999553926,0.999558822,0.999546536,0.999557307,0.99956698,0.999557311,0.999568496,0.999573582
0.999540457,0.999534659,0.999537854,0.999534667,0.999536247,0.999536269,0.999534675,0.999534978,0.999536247,0.999536916,0.999541012,0.999536285,0.999537841,0.999534045,0.999552067,0.999549046,0.999544983,0.999556383,0.999553723,0.999523654,0.999533096,0.999549931,0.999536249,0.999536247,0.999533072,0.999559979,0.999577559,0.999546199,0.999521104,0.999545611,0.99954821,0.999571105,0.999540447,0.999574733,0.999572073,0.999574734,0.999528994,0.999570076,0.999544995,0.999535317,0.999530545,0.999544993,0.999533757,0.999531575,0.999525809,0.999556195,0.999533734,0.999552068,0.999525817,0.999537199,0.999529,0.999525795,0.999530569,0.999530565,0.999552075,0.999552068,0.999558716,0.999550484,0.999553655,0.999533743,0.999550492,0.999550489,0.999549931,0.99953888,0.999558397,0.999552068,0.999552068,0.999536917,0.999533744,0.999553651,0.999552069,0.99955207,0.999547428,0.999561791,0.999555233,0.999553651,0.999556815,0.99955681,0.999559203,0.999583555,0.999558819,0.999553648,0.999569832,0.999555233,0.99955881,0.999534572,0.99955881,0.999560314,0.999559974,0.999558822,0.999533067,0.999558808,0.999554867,0.999557311,0.999556383,0.999572075
0.999540457,0.999537854,0.999539442,0.999537854,0.999537854,0.999537857,0.999537854,0.999533391,0.999539442,0.999533744,0.999539442,0.999536285,0.999539442,0.999538783,0.999555233,0.999550629,0.999538664,0.999559411,0.999555305,0.999525237,0.999536272,0.999548346,0.999537854,0.999537854,0.999537854,0.999556955,0.999582069,0.999544691,0.999525593,0.999544111,0.999549721,0.999563581,0.999543451,0.999573231,0.99956906,0.999573231,0.99953058,0.999573083,0.999535516,0.999535317,0.999533717,0.999535513,0.999533757,0.999533071,0.999524223,0.999557704,0.999533734,0.999558399,0.999528989,0.999541937,0.999527414,0.999525795,0.999532155,0.999532151,0.99955524,0.999553651,0.999565043,0.999555233,0.99955682,0.999533743,0.999558406,0.99955682,0.999549931,0.99953888,0.999558397,0.999553651,0.999555233,0.999533745,0.999532158,0.999555234,0.999553652,0.999553653,0.999547428,0.999555746,0.999556815,0.999555233,0.999558398,0.999558393,0.999562222,0.999579045,0.999557318,0.999555231,0.999568328,0.999555233,0.999557309,0.999536068,0.99955731,0.999555812,0.99955695,0.999557321,0.999534564,0.999557307,0.999557895,0.99955581,0.999557897,0.999569062
0.999543616,0.999534667,0.999537854,0.99954102,0.99954102,0.999542621,0.999537852,0.999538152,0.999542608,0.999536916,0.999539432,0.99953945,0.99954102,0.999537204,0.999550484,0.999549046,0.999548143,0.999557897,0.99955214,0.999525237,0.999534684,0.999545176,0.999542608,0.999539432,0.999537844,0.999563003,0.999582069,0.999547706,0.9995226,0.999545611,0.99954821,0.999569601,0.999541949,0.999574733,0.99957358,0.999574734,0.999528994,0.999571579,0.999541835,0.999538489,0.999530545,0.999543413,0.999533757,0.999528581,0.999525809,0.999557704,0.999533734,0.999548902,0.999527403,0.999541937,0.999527414,0.999525795,0.999530569,0.999532151,0.999550492,0.999548903,0.999560298,0.999548901,0.999548906,0.999533743,0.999550492,0.999548906,0.999546761,0.999542038,0.999553648,0.999552068,0.999550485,0.999536917,0.999532158,0.999548903,0.999552069,0.999548904,0.999548937,0.999564813,0.999552067,0.999550485,0.999550484,0.999550479,0.999560712,0.999583555,0.999558819,0.999550483,0.99957284,0.999552067,0.99955881,0.999533075,0.99955881,0.999558813,0.999562999,0.999560322,0.99953157,0.999558808,0.999556381,0.999558812,0.999556383,0.999573582
0.999542036,0.999536247,0.999537854,0.99954102,0.9995426,0.999542621,0.999542616,0.999536565,0.9995426,0.999536916,0.9995426,0.999537867,0.999542605,0.999534045,0.999550484,0.999549046,0.999543404,0.999556383,0.999555305,0.999523654,0.999534684,0.999546761,0.999542602,0.999537836,0.999541013,0.999561491,0.999579062,0.999546199,0.999519607,0.999542611,0.999549721,0.99957261,0.999540447,0.999574733,0.99957358,0.999579242,0.999533751,0.999570076,0.999538675,0.999536903,0.999530545,0.999541833,0.999533757,0.999533071,0.999527394,0.999554685,0.999532148,0.999548902,0.999527403,0.999538778,0.999529,0.999527381,0.999532155,0.999532151,0.999550492,0.999548903,0.999557134,0.999550484,0.999552072,0.999533743,0.999550492,0.999547323,0.999545176,0.99953888,0.9995489,0.999550486,0.999550485,0.999536917,0.999533744,0.999550486,0.999550486,0.999550487,0.999545919,0.999564813,0.999548901,0.999550485,0.999548901,0.999548896,0.999559203,0.999585058,0.999558819,0.999550483,0.999571336,0.999550484,0.999557309,0.999534572,0.99955881,0.999558813,0.999561486,0.999558822,0.999533067,0.999558808,0.999554867,0.999557311,0.999554869,0.999573582
0.999543616,0.999536269,0.999537857,0.999542621,0.999542621,0.999545797,0.999544209,0.999538152,0.999544209,0.999538502,0.999544209,0.999537867,0.999541033,0.999534045,0.999555233,0.999555376,0.999546563,0.999559411,0.999556888,0.999526819,0.999536272,0.999557855,0.999542621,0.999537857,0.999534681,0.999567539,0.999579062,0.999547706,0.9995226,0.999545611,0.999551232,0.99957562,0.999541949,0.999579242,0.999576594,0.999580745,0.99953058,0.999573083,0.999546575,0.999538489,0.999533717,0.999548153,0.999535343,0.999531575,0.999527394,0.999559214,0.99953532,0.999552068,0.999527403,0.999543517,0.999530586,0.999530553,0.999532155,0.999532151,0.99955524,0.999556817,0.999561879,0.999548901,0.999550489,0.999535329,0.999552075,0.999548906,0.999557855,0.999540459,0.999556814,0.999553651,0.999555233,0.999538503,0.999533744,0.999550486,0.999553652,0.99955207,0.999548937,0.999567835,0.999555233,0.999556816,0.999556815,0.99955681,0.999562222,0.999585058,0.99956032,0.999558397,0.999575849,0.999558398,0.99955881,0.999531579,0.999560311,0.999560314,0.999567535,0.999557321,0.99953157,0.999558808,0.999556381,0.999558812,0.999557897,0.999579609
0.999538878,0.999534675,0.999537854,0.999537852,0.999542616,0.999544209,0.999542616,0.999533391,0.999542616,0.99953533,0.999544204,0.999536285,0.999542616,0.999537204,0.999552067,0.999547464,0.999543404,0.999556383,0.999555305,0.999523654,0.999534684,0.999546761,0.999542616,0.99953944,0.999541028,0.999569052,0.999579062,0.999543183,0.9995226,0.99954861,0.999549721,0.999577125,0.999538946,0.999582247,0.99957358,0.999582248,0.99953058,0.999571579,0.999541835,0.999535317,0.999530545,0.999543413,0.999533757,0.999531575,0.999527394,0.999554685,0.999532148,0.999548902,0.999530575,0.999545096,0.999529,0.999527381,0.999530569,0.999530565,0.999552075,0.999550486,0.999553971,0.999550484,0.999550489,0.999533743,0.999547327,0.99954574,0.999549931,0.999532563,0.999550483,0.999550486,0.999552068,0.999535331,0.999533744,0.999550486,0.999550486,0.999550487,0.999545919,0.999567835,0.999552067,0.999552068,0.999552067,0.999550479,0.999560712,0.999579045,0.99956032,0.999552066,0.999577353,0.99955365,0.99956031,0.999531579,0.999561812,0.999561814,0.999569047,0.999561823,0.99953157,0.999561809,0.999556381,0.999560312,0.999556383,0.999575089
0.999545195,0.999534978,0.999533391,0.999538152,0.999536565,0.999538152,0.999533391,0.999527043,0.999536565,0.99953533,0.999536565,0.999534702,0.999534978,0.999537204,0.999567895,0.999556958,0.999532344,0.999557897,0.99955847,0.999514159,0.999531804,0.999551515,0.999533391,0.999533391,0.999534978,0.999563003,0.999577559,0.999531122,0.999518111,0.999554608,0.999554254,0.99957261,0.999526931,0.99956722,0.999572073,0.999568723,0.999532166,0.999559553,0.999541835,0.999535317,0.999530545,0.999538673,0.999533757,0.999537561,0.999524223,0.999578838,0.999530562,0.999561565,0.999528989,0.999545096,0.999532172,0.999525795,0.999530569,0.999533737,0.999564737,0.999566314,0.999555553,0.999567895,0.999566317,0.999532157,0.99956632,0.999561568,0.999551515,0.999545197,0.999563145,0.999564731,0.999567896,0.999535331,0.999530572,0.999561565,0.999566314,0.999561567,0.999539885,0.999558768,0.999563147,0.999563147,0.999563147,0.999564724,0.999574298,0.999576038,0.999554317,0.999566311,0.999566824,0.999566312,0.999554308,0.999540558,0.999555809,0.999555812,0.999562999,0.999557321,0.999539053,0.999555806,0.999556381,0.99955431,0.999556383,0.999572075
0.999543616,0.999536247,0.999539442,0.999542608,0.9995426,0.999544209,0.999542616,0.999536565,0.999544188,0.999536916,0.999545776,0.999537867,0.999544193,0.999538783,0.999556815,0.999555376,0.999551303,0.999557897,0.999560053,0.999525237,0.999534684,0.9995531,0.999542602,0.999537835,0.999541013,0.999566027,0.999580565,0.999549214,0.9995226,0.99955011,0.999551232,0.99957261,0.999541949,0.999576236,0.999576594,0.999580745,0.999533751,0.999571579,0.999549735,0.999538489,0.999532131,0.999548153,0.999535343,0.999534568,0.999527394,0.999556195,0.999533734,0.999553651,0.999528989,0.999541937,0.999529,0.999527381,0.999532155,0.999532151,0.999556823,0.999555234,0.999563461,0.999556815,0.99955682,0.999535329,0.99955524,0.999553654,0.999551515,0.99953888,0.999556814,0.999556817,0.999556816,0.999536917,0.999533744,0.999556817,0.999556818,0.999556818,0.999548937,0.999566324,0.999556815,0.999556816,0.999556815,0.999559975,0.999560712,0.999583555,0.99956032,0.999556814,0.99957284,0.999556815,0.99956031,0.999536068,0.999560311,0.999561814,0.999566023,0.999560322,0.999534564,0.999561809,0.999556381,0.999560312,0.999556383,0.999575089
0.999548353,0.999536916,0.999533744,0.999536916,0.999536916,0.999538502,0.99953533,0.99953533,0.999536916,0.999544845,0.999533744,0.999547363,0.99953533,0.999538783,0.999552067,0.999555376,0.999546563,0.999545785,0.999555305,0.999515742,0.999533744,0.9995531,0.999533744,0.99953533,0.999533744,0.999559979,0.999533961,0.999577859,0.999540559,0.999539612,0.999543677,0.99957261,0.999538946,0.999564214,0.999560019,0.999570226,0.999543267,0.999583605,0.999546575,0.999544845,0.999541674,0.999544993,0.999536929,0.999536064,0.999538502,0.999593933,0.99954326,0.999558399,0.999538504,0.999538778,0.999533757,0.999540088,0.99954326,0.999541674,0.999552075,0.999552068,0.999553971,0.999552067,0.999553655,0.99954326,0.999558406,0.99955682,0.9995531,0.999546776,0.999553648,0.999553651,0.999552068,0.99954326,0.999541674,0.999553651,0.999553652,0.999553653,0.999568548,0.999560279,0.999552067,0.999552068,0.999552067,0.999553644,0.999598452,0.999539956,0.999546814,0.999553648,0.999574345,0.99955365,0.999543803,0.999539062,0.999546805,0.999546808,0.999561486,0.999545316,0.999537557,0.999546802,0.999542755,0.999546806,0.999542757,0.999561528
