/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Brazil82.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4ElSal83.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4ElSal94.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Indon76.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Indon77.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Mexico84.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4NewCal81.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4PRico86.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Philip56.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Philip64.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Philip84.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4SLanka78.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Tahiti79.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Tahiti85.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Thai63.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Thai78.fasta,/home/alex/Documents/snacc_paper_results/datasets/dengue/D4Thai84.fasta
0.382352941,0.399267399,0.483455882,0.479779412,0.470588235,0.428308824,0.394495413,0.449090909,0.679417122,0.683823529,0.709558824,0.705882353,0.417279412,0.463369963,0.713235294,0.713761468,0.707720588
0.399267399,0.380952381,0.47985348,0.476190476,0.463369963,0.424908425,0.386446886,0.44,0.663023679,0.688644689,0.708791209,0.694139194,0.41025641,0.452380952,0.71978022,0.6996337,0.695970696
0.483455882,0.47985348,0.386029412,0.542279412,0.533088235,0.496323529,0.475229358,0.510909091,0.690346084,0.707720588,0.707720588,0.709558824,0.492647059,0.531135531,0.731617647,0.719266055,0.713235294
0.479779412,0.476190476,0.542279412,0.389298893,0.442804428,0.501845018,0.471559633,0.516363636,0.683060109,0.686924494,0.70295203,0.704797048,0.486187845,0.529304029,0.708487085,0.695412844,0.692449355
0.470588235,0.463369963,0.533088235,0.442804428,0.387037037,0.487985213,0.458715596,0.505454545,0.672131148,0.67587477,0.696296296,0.704797048,0.473296501,0.509157509,0.710332103,0.706422018,0.70718232
0.428308824,0.424908425,0.496323529,0.501845018,0.487985213,0.375231054,0.420183486,0.470909091,0.683060109,0.683241252,0.6987061,0.717712177,0.44198895,0.485347985,0.712177122,0.699082569,0.699815838
0.394495413,0.386446886,0.475229358,0.471559633,0.458715596,0.420183486,0.381651376,0.436363636,0.681238616,0.689908257,0.711926606,0.699082569,0.405504587,0.450549451,0.719266055,0.711926606,0.700917431
0.449090909,0.44,0.510909091,0.516363636,0.505454545,0.470909091,0.436363636,0.369090909,0.68,0.683636364,0.709090909,0.707272727,0.452727273,0.481818182,0.712727273,0.703636364,0.714545455
0.679417122,0.663023679,0.690346084,0.683060109,0.672131148,0.683060109,0.681238616,0.68,0.384335155,0.453551913,0.570127505,0.617486339,0.670309654,0.66848816,0.670309654,0.64298725,0.659380692
0.683823529,0.688644689,0.707720588,0.686924494,0.67587477,0.683241252,0.689908257,0.683636364,0.453551913,0.386740331,0.539594843,0.637200737,0.683241252,0.684981685,0.670349908,0.649541284,0.661141805
0.709558824,0.708791209,0.707720588,0.70295203,0.696296296,0.6987061,0.711926606,0.709090909,0.570127505,0.539594843,0.391465677,0.695571956,0.712707182,0.714285714,0.701107011,0.700917431,0.696132597
0.705882353,0.694139194,0.709558824,0.704797048,0.704797048,0.717712177,0.699082569,0.707272727,0.617486339,0.637200737,0.695571956,0.398523985,0.703499079,0.706959707,0.701107011,0.622018349,0.64640884
0.417279412,0.41025641,0.492647059,0.486187845,0.473296501,0.44198895,0.405504587,0.452727273,0.670309654,0.683241252,0.712707182,0.703499079,0.386740331,0.465201465,0.720073665,0.706422018,0.718232044
0.463369963,0.452380952,0.531135531,0.529304029,0.509157509,0.485347985,0.450549451,0.481818182,0.66848816,0.684981685,0.714285714,0.706959707,0.465201465,0.373626374,0.717948718,0.703296703,0.721611722
0.713235294,0.71978022,0.731617647,0.708487085,0.710332103,0.712177122,0.719266055,0.712727273,0.670309654,0.670349908,0.701107011,0.701107011,0.720073665,0.717948718,0.404059041,0.702752294,0.725598527
0.713761468,0.6996337,0.719266055,0.695412844,0.706422018,0.699082569,0.711926606,0.703636364,0.64298725,0.649541284,0.700917431,0.622018349,0.706422018,0.703296703,0.702752294,0.396330275,0.528440367
0.707720588,0.695970696,0.713235294,0.692449355,0.70718232,0.699815838,0.700917431,0.714545455,0.659380692,0.661141805,0.696132597,0.64640884,0.718232044,0.721611722,0.725598527,0.528440367,0.386740331
